     1.057 -31.4308 -31.4425 -31.4556 -31.4703 -31.4867 -31.5053 -31.5264 -31.5506 -31.5783 -31.6102 -31.6467 -31.6884 -31.7357 -31.7886 -31.8472 -31.9109 -31.9792 -32.0512 -32.1258 -32.2018 -32.2783 -32.3542 -32.4287 -32.5010 -32.5706 -32.6371 -32.7003 -32.7599 -32.8160 -32.8686 -32.9176 -32.9633 -33.0057 -33.0450 -33.0813 -33.1148 -33.1458 -33.1743 -33.2006 -33.2248 -33.2471 -33.2677 -33.2866 -33.3040 -33.3200 -33.3349 -33.3485 -33.3612 -33.3729 -33.3838 -33.3939 -33.4032 -33.4119 -33.4201 -33.4276 -33.4347 -33.4414 -33.4476 -33.4534 -33.4589 -33.4640 -33.4689 -33.4735 -33.4778
     1.067 -31.4243 -31.4360 -31.4491 -31.4638 -31.4802 -31.4988 -31.5199 -31.5441 -31.5718 -31.6037 -31.6402 -31.6819 -31.7292 -31.7821 -31.8407 -31.9044 -31.9727 -32.0447 -32.1193 -32.1953 -32.2718 -32.3477 -32.4222 -32.4945 -32.5641 -32.6306 -32.6938 -32.7534 -32.8095 -32.8621 -32.9111 -32.9568 -32.9992 -33.0385 -33.0748 -33.1083 -33.1393 -33.1678 -33.1941 -33.2183 -33.2406 -33.2612 -33.2801 -33.2975 -33.3135 -33.3284 -33.3420 -33.3547 -33.3664 -33.3773 -33.3874 -33.3967 -33.4054 -33.4136 -33.4211 -33.4282 -33.4349 -33.4411 -33.4469 -33.4524 -33.4575 -33.4624 -33.4670 -33.4713
     1.076 -31.4186 -31.4303 -31.4434 -31.4581 -31.4745 -31.4931 -31.5142 -31.5384 -31.5661 -31.5980 -31.6345 -31.6762 -31.7235 -31.7764 -31.8350 -31.8987 -31.9670 -32.0390 -32.1136 -32.1896 -32.2661 -32.3420 -32.4165 -32.4888 -32.5584 -32.6249 -32.6881 -32.7477 -32.8038 -32.8564 -32.9054 -32.9511 -32.9935 -33.0328 -33.0691 -33.1026 -33.1336 -33.1621 -33.1884 -33.2126 -33.2349 -33.2555 -33.2744 -33.2918 -33.3078 -33.3227 -33.3363 -33.3490 -33.3607 -33.3716 -33.3817 -33.3910 -33.3997 -33.4079 -33.4154 -33.4225 -33.4292 -33.4354 -33.4412 -33.4467 -33.4518 -33.4567 -33.4613 -33.4656
     1.086 -31.4122 -31.4239 -31.4370 -31.4517 -31.4681 -31.4867 -31.5078 -31.5320 -31.5597 -31.5916 -31.6281 -31.6698 -31.7171 -31.7700 -31.8286 -31.8923 -31.9606 -32.0326 -32.1072 -32.1832 -32.2597 -32.3356 -32.4101 -32.4824 -32.5520 -32.6185 -32.6817 -32.7413 -32.7974 -32.8500 -32.8990 -32.9447 -32.9871 -33.0264 -33.0627 -33.0962 -33.1272 -33.1557 -33.1820 -33.2062 -33.2285 -33.2491 -33.2680 -33.2854 -33.3014 -33.3163 -33.3299 -33.3426 -33.3543 -33.3652 -33.3753 -33.3846 -33.3933 -33.4015 -33.4090 -33.4161 -33.4228 -33.4290 -33.4348 -33.4403 -33.4454 -33.4503 -33.4549 -33.4592
     1.096 -31.4059 -31.4176 -31.4307 -31.4454 -31.4618 -31.4804 -31.5015 -31.5257 -31.5534 -31.5853 -31.6218 -31.6635 -31.7108 -31.7637 -31.8223 -31.8860 -31.9543 -32.0263 -32.1009 -32.1769 -32.2534 -32.3293 -32.4038 -32.4761 -32.5457 -32.6122 -32.6754 -32.7350 -32.7911 -32.8437 -32.8927 -32.9384 -32.9808 -33.0201 -33.0564 -33.0899 -33.1209 -33.1494 -33.1757 -33.1999 -33.2222 -33.2428 -33.2617 -33.2791 -33.2951 -33.3100 -33.3236 -33.3363 -33.3480 -33.3589 -33.3690 -33.3783 -33.3870 -33.3952 -33.4027 -33.4098 -33.4165 -33.4227 -33.4285 -33.4340 -33.4391 -33.4440 -33.4486 -33.4529
     1.107 -31.3990 -31.4107 -31.4238 -31.4385 -31.4549 -31.4735 -31.4946 -31.5188 -31.5465 -31.5784 -31.6149 -31.6566 -31.7039 -31.7568 -31.8154 -31.8791 -31.9474 -32.0194 -32.0940 -32.1700 -32.2465 -32.3224 -32.3969 -32.4692 -32.5388 -32.6053 -32.6685 -32.7281 -32.7842 -32.8368 -32.8858 -32.9315 -32.9739 -33.0132 -33.0495 -33.0830 -33.1140 -33.1425 -33.1688 -33.1930 -33.2153 -33.2359 -33.2548 -33.2722 -33.2882 -33.3031 -33.3167 -33.3294 -33.3411 -33.3520 -33.3621 -33.3714 -33.3801 -33.3883 -33.3958 -33.4029 -33.4096 -33.4158 -33.4216 -33.4271 -33.4322 -33.4371 -33.4417 -33.4460
     1.117 -31.3928 -31.4045 -31.4176 -31.4323 -31.4487 -31.4673 -31.4884 -31.5126 -31.5403 -31.5722 -31.6087 -31.6504 -31.6977 -31.7506 -31.8092 -31.8729 -31.9412 -32.0132 -32.0878 -32.1638 -32.2403 -32.3162 -32.3907 -32.4630 -32.5326 -32.5991 -32.6623 -32.7219 -32.7780 -32.8306 -32.8796 -32.9253 -32.9677 -33.0070 -33.0433 -33.0768 -33.1078 -33.1363 -33.1626 -33.1868 -33.2091 -33.2297 -33.2486 -33.2660 -33.2820 -33.2969 -33.3105 -33.3232 -33.3349 -33.3458 -33.3559 -33.3652 -33.3739 -33.3821 -33.3896 -33.3967 -33.4034 -33.4096 -33.4154 -33.4209 -33.4260 -33.4309 -33.4355 -33.4398
     1.127 -31.3867 -31.3984 -31.4115 -31.4262 -31.4426 -31.4612 -31.4823 -31.5065 -31.5342 -31.5661 -31.6026 -31.6443 -31.6916 -31.7445 -31.8031 -31.8668 -31.9351 -32.0071 -32.0817 -32.1577 -32.2342 -32.3101 -32.3846 -32.4569 -32.5265 -32.5930 -32.6562 -32.7158 -32.7719 -32.8245 -32.8735 -32.9192 -32.9616 -33.0009 -33.0372 -33.0707 -33.1017 -33.1302 -33.1565 -33.1807 -33.2030 -33.2236 -33.2425 -33.2599 -33.2759 -33.2908 -33.3044 -33.3171 -33.3288 -33.3397 -33.3498 -33.3591 -33.3678 -33.3760 -33.3835 -33.3906 -33.3973 -33.4035 -33.4093 -33.4148 -33.4199 -33.4248 -33.4294 -33.4337
     1.138 -31.3800 -31.3917 -31.4048 -31.4195 -31.4359 -31.4545 -31.4756 -31.4998 -31.5275 -31.5594 -31.5959 -31.6376 -31.6849 -31.7378 -31.7964 -31.8601 -31.9284 -32.0004 -32.0750 -32.1510 -32.2275 -32.3034 -32.3779 -32.4502 -32.5198 -32.5863 -32.6495 -32.7091 -32.7652 -32.8178 -32.8668 -32.9125 -32.9549 -32.9942 -33.0305 -33.0640 -33.0950 -33.1235 -33.1498 -33.1740 -33.1963 -33.2169 -33.2358 -33.2532 -33.2692 -33.2841 -33.2977 -33.3104 -33.3221 -33.3330 -33.3431 -33.3524 -33.3611 -33.3693 -33.3768 -33.3839 -33.3906 -33.3968 -33.4026 -33.4081 -33.4132 -33.4181 -33.4227 -33.4270
     1.148 -31.3740 -31.3857 -31.3988 -31.4135 -31.4299 -31.4485 -31.4696 -31.4938 -31.5215 -31.5534 -31.5899 -31.6316 -31.6789 -31.7318 -31.7904 -31.8541 -31.9224 -31.9944 -32.0690 -32.1450 -32.2215 -32.2974 -32.3719 -32.4442 -32.5138 -32.5802 -32.6435 -32.7031 -32.7592 -32.8118 -32.8608 -32.9065 -32.9489 -32.9882 -33.0245 -33.0580 -33.0890 -33.1175 -33.1438 -33.1679 -33.1903 -33.2108 -33.2298 -33.2472 -33.2632 -33.2780 -33.2917 -33.3044 -33.3161 -33.3270 -33.3371 -33.3464 -33.3551 -33.3633 -33.3708 -33.3778 -33.3846 -33.3908 -33.3966 -33.4021 -33.4072 -33.4121 -33.4167 -33.4210
