4300    37.751 37.750 37.748 37.745 36.988 36.987 36.985 36.985 36.138 36.137 36.137 36.141
4340    40.762 40.763 40.762 40.762 40.777 40.777 40.776 40.776 40.779 40.779 40.779 40.782
4363    38.368 38.369 38.367 38.360 39.087 39.087 39.084 39.072 39.536 39.536 39.533 39.519
4471    39.624 39.624 39.627 39.650 39.599 39.600 39.608 39.661 39.582 39.585 39.609 39.700
4659    37.743 37.742 37.736 37.712 37.117 37.110 37.095 37.059 36.324 36.315 36.296 36.255
4686    37.446 37.450 37.446 37.442 37.442 37.443 37.437 37.437 37.438 37.438 37.438 37.438
4861    41.088 41.089 41.088 41.088 41.101 41.101 41.100 41.100 41.101 41.101 41.101 41.104
4922    39.056 39.057 39.059 39.075 39.030 39.031 39.035 39.069 39.011 39.013 39.025 39.078
4959    39.591 39.592 39.590 39.586 40.086 40.086 40.084 40.077 40.353 40.353 40.352 40.344
5007    40.069 40.070 40.069 40.064 40.564 40.564 40.562 40.555 40.832 40.832 40.830 40.823
5016    39.387 39.389 39.391 39.414 39.393 39.394 39.398 39.438 39.402 39.403 39.414 39.464
5876    40.060 40.061 40.069 40.121 40.024 40.026 40.045 40.154 40.002 40.008 40.054 40.212
6300    38.215 38.215 38.215 38.214 37.458 37.458 37.459 37.459 36.593 36.593 36.594 36.599
6312    37.957 37.958 37.958 37.956 38.168 38.168 38.165 38.151 37.815 37.815 37.810 37.777
6548    38.242 38.242 38.243 38.243 37.448 37.449 37.456 37.456 36.551 36.559 36.563 36.560
6563    41.560 41.560 41.560 41.557 41.566 41.566 41.565 41.562 41.556 41.556 41.557 41.558
6584    38.712 38.712 38.713 38.713 37.918 37.919 37.926 37.926 37.021 37.029 37.033 37.030
6678    39.514 39.514 39.518 39.545 39.475 39.476 39.484 39.540 39.451 39.453 39.473 39.554
6716    38.832 38.829 38.797 38.612 38.131 38.128 38.096 37.905 37.232 37.229 37.197 37.010
6720    39.063 39.062 39.045 38.947 38.364 38.363 38.344 38.240 37.465 37.463 37.445 37.345
6731    38.680 38.681 38.683 38.678 37.982 37.983 37.983 37.970 37.083 37.084 37.084 37.075
7065    39.346 39.351 39.394 39.610 39.384 39.400 39.497 39.859 39.439 39.494 39.761 40.109
7135    38.607 38.608 38.607 38.604 38.602 38.602 38.601 38.595 38.053 38.053 38.052 38.044
7325    38.428 38.431 38.463 38.641 37.777 37.780 37.808 37.971 37.131 37.133 37.153 37.278
7751    37.990 37.990 37.989 37.987 37.985 37.985 37.983 37.978 37.436 37.436 37.435 37.426
8334    38.165 38.166 38.166 38.177 38.151 38.151 38.151 38.160 38.134 38.134 38.135 38.145
8346    38.220 38.220 38.220 38.229 38.206 38.206 38.206 38.213 38.190 38.190 38.190 38.199
8359    38.278 38.278 38.278 38.285 38.264 38.264 38.263 38.269 38.247 38.247 38.248 38.255
8374    38.338 38.338 38.338 38.343 38.324 38.324 38.324 38.329 38.308 38.308 38.309 38.315
8392    38.401 38.402 38.401 38.405 38.388 38.388 38.387 38.391 38.372 38.372 38.372 38.378
8413    38.468 38.468 38.468 38.471 38.454 38.455 38.454 38.457 38.439 38.439 38.439 38.444
8438    38.538 38.539 38.538 38.541 38.525 38.525 38.524 38.527 38.509 38.509 38.510 38.514
8467    38.613 38.613 38.613 38.614 38.599 38.600 38.599 38.601 38.584 38.584 38.585 38.588
8502    38.692 38.692 38.692 38.693 38.679 38.679 38.678 38.680 38.663 38.663 38.664 38.667
8545    38.776 38.776 38.776 38.777 38.763 38.763 38.762 38.764 38.747 38.747 38.748 38.752
8598    38.866 38.866 38.866 38.867 38.853 38.853 38.853 38.854 38.838 38.838 38.838 38.842
8665    38.963 38.963 38.963 38.964 38.950 38.950 38.950 38.951 38.935 38.935 38.935 38.939
8750    39.068 39.068 39.068 39.068 39.055 39.055 39.055 39.056 39.040 39.040 39.040 39.044
8863    39.182 39.183 39.182 39.183 39.169 39.169 39.169 39.170 39.154 39.154 39.155 39.158
9015    39.325 39.325 39.325 39.326 39.322 39.323 39.321 39.321 39.311 39.311 39.311 39.313
9069    38.776 38.777 38.777 38.777 38.823 38.823 38.820 38.810 38.345 38.344 38.340 38.312
