Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         6 = grain model
 4.000E-08 4.000E-01 3.750E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 1.250E-05 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.151E+02 = <U> 
     mmp83 = radfield
 5.168E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.851E-24  6.236E-17 COBE-DIRBE
2.220E+00  2.490E-24  1.466E-16 COBE-DIRBE
3.530E+00  1.715E-23  1.605E-15 COBE-DIRBE
4.880E+00  1.080E-23  1.398E-15 COBE-DIRBE
1.229E+01  1.046E-22  3.411E-14 COBE-DIRBE
2.079E+01  1.572E-22  8.668E-14 COBE-DIRBE
5.599E+01  2.008E-22  2.983E-13 COBE-DIRBE
9.770E+01  8.587E-23  2.225E-13 COBE-DIRBE
1.479E+02  3.372E-23  1.323E-13 COBE-DIRBE
2.479E+02  6.384E-24  4.197E-14 COBE-DIRBE
1.200E+01  1.074E-22  3.418E-14 IRAS
2.500E+01  1.870E-22  1.240E-13 IRAS
6.000E+01  1.894E-22  3.015E-13 IRAS
1.000E+02  8.140E-23  2.159E-13 IRAS
3.550E+00  1.986E-23  1.871E-15 SST-IRAC
4.493E+00  7.616E-24  9.077E-16 SST-IRAC
5.731E+00  5.339E-23  8.116E-15 SST-IRAC
7.872E+00  1.351E-22  2.822E-14 SST-IRAC
2.368E+01  1.758E-22  1.104E-13 SST-MIPS
7.142E+01  1.326E-22  2.513E-13 SST-MIPS
1.559E+02  2.633E-23  1.089E-13 SST-MIPS
1.600E+01  1.117E-22  4.742E-14 SST-IRSPU
2.200E+01  1.739E-22  1.015E-13 SST-IRSPU
7.500E+01  1.150E-22  2.288E-13 Herschel-PACS
1.100E+02  5.760E-23  1.681E-13 Herschel-PACS
1.700E+02  2.006E-23  9.045E-14 Herschel-PACS
2.500E+02  5.196E-24  3.446E-14 Herschel-SPIRE
3.600E+02  1.168E-24  1.116E-14 Herschel-SPIRE
5.200E+02  2.500E-25  3.448E-15 Herschel-SPIRE
2.400E+00  2.857E-24  1.819E-16 Akari IRC NIR N2
3.200E+00  1.309E-23  1.111E-15 Akari IRC NIR N3
4.100E+00  7.943E-24  8.638E-16 Akari IRC NIR N4
7.000E+00  1.476E-22  2.740E-14 Akari IRC MIR-S S7
9.000E+00  1.159E-22  2.768E-14 Akari IRC MIR-S S9W
1.100E+01  9.965E-23  2.907E-14 Akari IRC MIR-S S11
1.500E+01  1.181E-22  4.700E-14 Akari IRC MIR-L L15
1.800E+01  1.428E-22  6.816E-14 Akari IRC MIR-L L18W
2.400E+01  1.741E-22  1.108E-13 Akari IRC MIR-L L24
6.500E+01  1.610E-22  2.776E-13 Akari FIS N60
8.000E+01  1.095E-22  2.324E-13 Akari FIS WIDE-S
1.400E+02  3.337E-23  1.239E-13 Akari FIS WIDE-L
1.600E+02  2.407E-23  1.022E-13 Akari FIS N160
 
 
 
 


lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  9.582E-31  2.542E-19
9.908E+03  9.934E-31  2.611E-19
9.817E+03  1.030E-30  2.682E-19
9.727E+03  1.068E-30  2.755E-19
9.638E+03  1.107E-30  2.829E-19
9.550E+03  1.147E-30  2.906E-19
9.462E+03  1.189E-30  2.985E-19
9.376E+03  1.233E-30  3.066E-19
9.290E+03  1.278E-30  3.150E-19
9.204E+03  1.325E-30  3.235E-19
9.120E+03  1.374E-30  3.323E-19
9.036E+03  1.424E-30  3.414E-19
8.954E+03  1.476E-30  3.506E-19
8.872E+03  1.530E-30  3.601E-19
8.790E+03  1.586E-30  3.698E-19
8.710E+03  1.644E-30  3.798E-19
8.630E+03  1.704E-30  3.900E-19
8.551E+03  1.766E-30  4.006E-19
8.472E+03  1.831E-30  4.115E-19
8.395E+03  1.898E-30  4.226E-19
8.318E+03  1.967E-30  4.341E-19
8.241E+03  2.040E-30  4.459E-19
8.166E+03  2.115E-30  4.580E-19
8.091E+03  2.192E-30  4.705E-19
8.017E+03  2.273E-30  4.833E-19
7.943E+03  2.356E-30  4.965E-19
7.870E+03  2.443E-30  5.100E-19
7.798E+03  2.533E-30  5.240E-19
7.727E+03  2.626E-30  5.383E-19
7.656E+03  2.723E-30  5.530E-19
7.586E+03  2.824E-30  5.681E-19
7.516E+03  2.928E-30  5.837E-19
7.447E+03  3.036E-30  5.997E-19
7.379E+03  3.148E-30  6.162E-19
