Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         5 = grain model
 4.000E-08 4.000E-01 3.000E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 1.000E-05 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.151E+02 = <U> 
     mmp83 = radfield
 5.155E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.507E-24  5.077E-17 COBE-DIRBE
2.220E+00  2.032E-24  1.196E-16 COBE-DIRBE
3.530E+00  1.403E-23  1.314E-15 COBE-DIRBE
4.880E+00  9.707E-24  1.257E-15 COBE-DIRBE
1.229E+01  9.708E-23  3.165E-14 COBE-DIRBE
2.079E+01  1.585E-22  8.742E-14 COBE-DIRBE
5.599E+01  2.083E-22  3.093E-13 COBE-DIRBE
9.770E+01  8.778E-23  2.275E-13 COBE-DIRBE
1.479E+02  3.421E-23  1.342E-13 COBE-DIRBE
2.479E+02  6.455E-24  4.244E-14 COBE-DIRBE
1.200E+01  9.815E-23  3.124E-14 IRAS
2.500E+01  1.916E-22  1.270E-13 IRAS
6.000E+01  1.962E-22  3.123E-13 IRAS
1.000E+02  8.315E-23  2.206E-13 IRAS
3.550E+00  1.623E-23  1.528E-15 SST-IRAC
4.493E+00  6.810E-24  8.116E-16 SST-IRAC
5.731E+00  4.575E-23  6.955E-15 SST-IRAC
7.872E+00  1.178E-22  2.459E-14 SST-IRAC
2.368E+01  1.803E-22  1.133E-13 SST-MIPS
7.142E+01  1.365E-22  2.586E-13 SST-MIPS
1.559E+02  2.668E-23  1.103E-13 SST-MIPS
1.600E+01  1.086E-22  4.609E-14 SST-IRSPU
2.200E+01  1.776E-22  1.036E-13 SST-IRSPU
7.500E+01  1.184E-22  2.355E-13 Herschel-PACS
1.100E+02  5.881E-23  1.716E-13 Herschel-PACS
1.700E+02  2.033E-23  9.167E-14 Herschel-PACS
2.500E+02  5.252E-24  3.483E-14 Herschel-SPIRE
3.600E+02  1.179E-24  1.126E-14 Herschel-SPIRE
5.200E+02  2.520E-25  3.476E-15 Herschel-SPIRE
2.400E+00  2.340E-24  1.490E-16 Akari IRC NIR N2
3.200E+00  1.069E-23  9.073E-16 Akari IRC NIR N3
4.100E+00  7.028E-24  7.644E-16 Akari IRC NIR N4
7.000E+00  1.271E-22  2.359E-14 Akari IRC MIR-S S7
9.000E+00  1.031E-22  2.462E-14 Akari IRC MIR-S S9W
1.100E+01  9.145E-23  2.668E-14 Akari IRC MIR-S S11
1.500E+01  1.148E-22  4.569E-14 Akari IRC MIR-L L15
1.800E+01  1.429E-22  6.824E-14 Akari IRC MIR-L L18W
2.400E+01  1.780E-22  1.133E-13 Akari IRC MIR-L L24
6.500E+01  1.660E-22  2.863E-13 Akari FIS N60
8.000E+01  1.123E-22  2.384E-13 Akari FIS WIDE-S
1.400E+02  3.384E-23  1.257E-13 Akari FIS WIDE-L
1.600E+02  2.439E-23  1.035E-13 Akari FIS N160
 
 
 
 


lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  9.607E-31  2.548E-19
9.908E+03  9.959E-31  2.618E-19
9.817E+03  1.032E-30  2.689E-19
9.727E+03  1.070E-30  2.762E-19
9.638E+03  1.110E-30  2.837E-19
9.550E+03  1.150E-30  2.914E-19
9.462E+03  1.193E-30  2.993E-19
9.376E+03  1.236E-30  3.075E-19
9.290E+03  1.282E-30  3.158E-19
9.204E+03  1.329E-30  3.244E-19
9.120E+03  1.378E-30  3.332E-19
9.036E+03  1.428E-30  3.423E-19
8.954E+03  1.480E-30  3.516E-19
8.872E+03  1.534E-30  3.611E-19
8.790E+03  1.590E-30  3.708E-19
8.710E+03  1.649E-30  3.809E-19
8.630E+03  1.709E-30  3.912E-19
8.551E+03  1.771E-30  4.018E-19
8.472E+03  1.836E-30  4.127E-19
8.395E+03  1.904E-30  4.239E-19
8.318E+03  1.974E-30  4.354E-19
8.241E+03  2.046E-30  4.473E-19
8.166E+03  2.121E-30  4.594E-19
8.091E+03  2.199E-30  4.720E-19
8.017E+03  2.280E-30  4.848E-19
7.943E+03  2.364E-30  4.981E-19
7.870E+03  2.451E-30  5.117E-19
7.798E+03  2.541E-30  5.257E-19
7.727E+03  2.635E-30  5.400E-19
7.656E+03  2.732E-30  5.548E-19
7.586E+03  2.833E-30  5.700E-19
7.516E+03  2.938E-30  5.857E-19
7.447E+03  3.046E-30  6.017E-19
7.379E+03  3.159E-30  6.183E-19
7.311E+03  3.276E-30  6.353E-19
7.244E+03  3.397E-30  6.528E-19
7.178E+03  3.523E-30  6.707E-19
7.112E+03  3.653E-30  6.892E-19
7.047E+03  3.789E-30  7.083E-19
6.982E+03  3.930E-30  7.278E-19
6.918E+03  4.075E-30  7.479E-19
6.855E+03  4.226E-30  7.685E-19
6.792E+03  4.383E-30  7.897E-19
6.730E+03  4.546E-30  8.115E-19
6.668E+03  4.715E-30  8.340E-19
6.607E+03  4.890E-30  8.571E-19
6.546E+03  5.073E-30  8.808E-19
6.486E+03  5.261E-30  9.053E-19
6.427E+03  5.458E-30  9.304E-19
6.368E+03  5.661E-30  9.563E-19
6.310E+03  5.873E-30  9.829E-19
6.252E+03  6.092E-30  1.010E-18
6.194E+03  6.320E-30  1.038E-18
6.138E+03  6.556E-30  1.067E-18
6.081E+03  6.801E-30  1.097E-18
6.026E+03  7.056E-30  1.128E-18
5.970E+03  7.321E-30  1.159E-18
5.916E+03  7.595E-30  1.192E-18
5.861E+03  7.880E-30  1.225E-18
