Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         7 = grain model
 4.000E-08 4.000E-01 4.500E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 1.500E-05 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.151E+02 = <U> 
     mmp83 = radfield
 5.236E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  2.226E-24  7.499E-17 COBE-DIRBE
2.220E+00  2.998E-24  1.766E-16 COBE-DIRBE
3.530E+00  2.039E-23  1.909E-15 COBE-DIRBE
4.880E+00  1.204E-23  1.559E-15 COBE-DIRBE
1.229E+01  1.141E-22  3.720E-14 COBE-DIRBE
2.079E+01  1.587E-22  8.752E-14 COBE-DIRBE
5.599E+01  1.948E-22  2.893E-13 COBE-DIRBE
9.770E+01  8.446E-23  2.189E-13 COBE-DIRBE
1.479E+02  3.338E-23  1.310E-13 COBE-DIRBE
2.479E+02  6.352E-24  4.177E-14 COBE-DIRBE
1.200E+01  1.186E-22  3.774E-14 IRAS
2.500E+01  1.853E-22  1.229E-13 IRAS
6.000E+01  1.839E-22  2.926E-13 IRAS
1.000E+02  8.012E-23  2.125E-13 IRAS
3.550E+00  2.363E-23  2.225E-15 SST-IRAC
4.493E+00  8.540E-24  1.018E-15 SST-IRAC
5.731E+00  6.157E-23  9.360E-15 SST-IRAC
7.872E+00  1.545E-22  3.226E-14 SST-IRAC
2.368E+01  1.740E-22  1.093E-13 SST-MIPS
7.142E+01  1.296E-22  2.455E-13 SST-MIPS
1.559E+02  2.609E-23  1.079E-13 SST-MIPS
1.600E+01  1.170E-22  4.966E-14 SST-IRSPU
2.200E+01  1.732E-22  1.011E-13 SST-IRSPU
7.500E+01  1.124E-22  2.236E-13 Herschel-PACS
1.100E+02  5.671E-23  1.655E-13 Herschel-PACS
1.700E+02  1.988E-23  8.964E-14 Herschel-PACS
2.500E+02  5.174E-24  3.431E-14 Herschel-SPIRE
3.600E+02  1.165E-24  1.112E-14 Herschel-SPIRE
5.200E+02  2.496E-25  3.443E-15 Herschel-SPIRE
2.400E+00  3.427E-24  2.182E-16 Akari IRC NIR N2
3.200E+00  1.559E-23  1.323E-15 Akari IRC NIR N3
4.100E+00  8.974E-24  9.759E-16 Akari IRC NIR N4
7.000E+00  1.700E-22  3.157E-14 Akari IRC MIR-S S7
9.000E+00  1.307E-22  3.120E-14 Akari IRC MIR-S S9W
1.100E+01  1.098E-22  3.203E-14 Akari IRC MIR-S S11
1.500E+01  1.237E-22  4.924E-14 Akari IRC MIR-L L15
1.800E+01  1.452E-22  6.935E-14 Akari IRC MIR-L L18W
2.400E+01  1.731E-22  1.102E-13 Akari IRC MIR-L L24
6.500E+01  1.570E-22  2.707E-13 Akari FIS N60
8.000E+01  1.073E-22  2.277E-13 Akari FIS WIDE-S
1.400E+02  3.304E-23  1.227E-13 Akari FIS WIDE-L
1.600E+02  2.387E-23  1.013E-13 Akari FIS N160
 
 
 
 


lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  9.685E-31  2.569E-19
9.908E+03  1.004E-30  2.639E-19
9.817E+03  1.041E-30  2.710E-19
9.727E+03  1.079E-30  2.784E-19
9.638E+03  1.118E-30  2.859E-19
9.550E+03  1.159E-30  2.937E-19
9.462E+03  1.202E-30  3.017E-19
9.376E+03  1.246E-30  3.099E-19
9.290E+03  1.292E-30  3.183E-19
9.204E+03  1.339E-30  3.269E-19
9.120E+03  1.388E-30  3.358E-19
9.036E+03  1.439E-30  3.449E-19
8.954E+03  1.492E-30  3.542E-19
8.872E+03  1.546E-30  3.638E-19
8.790E+03  1.602E-30  3.736E-19
8.710E+03  1.661E-30  3.837E-19
8.630E+03  1.721E-30  3.940E-19
8.551E+03  1.784E-30  4.047E-19
8.472E+03  1.850E-30  4.157E-19
8.395E+03  1.917E-30  4.269E-19
8.318E+03  1.987E-30  4.385E-19
8.241E+03  2.060E-30  4.504E-19
8.166E+03  2.136E-30  4.626E-19
8.091E+03  2.214E-30  4.752E-19
8.017E+03  2.295E-30  4.881E-19
7.943E+03  2.380E-30  5.014E-19
7.870E+03  2.467E-30  5.151E-19
7.798E+03  2.558E-30  5.291E-19
7.727E+03  2.652E-30  5.436E-19
7.656E+03  2.750E-30  5.584E-19
7.586E+03  2.851E-30  5.737E-19
