Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         5 = grain model
 4.000E-08 4.000E-01 3.000E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 1.000E-05 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.000E+01 = <U> 
     mmp83 = radfield
 4.485E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.246E-25  4.196E-18 COBE-DIRBE
2.220E+00  1.590E-25  9.363E-18 COBE-DIRBE
3.530E+00  1.032E-24  9.664E-17 COBE-DIRBE
4.880E+00  4.631E-25  5.995E-17 COBE-DIRBE
1.229E+01  4.140E-24  1.350E-15 COBE-DIRBE
2.079E+01  2.872E-24  1.584E-15 COBE-DIRBE
5.599E+01  2.161E-23  3.209E-14 COBE-DIRBE
9.770E+01  2.704E-23  7.006E-14 COBE-DIRBE
1.479E+02  1.591E-23  6.240E-14 COBE-DIRBE
2.479E+02  3.907E-24  2.569E-14 COBE-DIRBE
1.200E+01  4.517E-24  1.438E-15 IRAS
2.500E+01  2.761E-24  1.831E-15 IRAS
6.000E+01  2.299E-23  3.660E-14 IRAS
1.000E+02  2.664E-23  7.067E-14 IRAS
3.550E+00  1.200E-24  1.130E-16 SST-IRAC
4.493E+00  3.369E-25  4.016E-17 SST-IRAC
5.731E+00  2.684E-24  4.081E-16 SST-IRAC
7.872E+00  6.542E-24  1.366E-15 SST-IRAC
2.368E+01  2.437E-24  1.531E-15 SST-MIPS
7.142E+01  2.570E-23  4.869E-14 SST-MIPS
1.559E+02  1.330E-23  5.498E-14 SST-MIPS
1.600E+01  3.274E-24  1.389E-15 SST-IRSPU
2.200E+01  2.599E-24  1.516E-15 SST-IRSPU
7.500E+01  2.216E-23  4.409E-14 Herschel-PACS
1.100E+02  1.934E-23  5.644E-14 Herschel-PACS
1.700E+02  1.008E-23  4.546E-14 Herschel-PACS
2.500E+02  3.255E-24  2.159E-14 Herschel-SPIRE
3.600E+02  8.125E-25  7.759E-15 Herschel-SPIRE
5.200E+02  1.843E-25  2.542E-15 Herschel-SPIRE
2.400E+00  1.782E-25  1.134E-17 Akari IRC NIR N2
3.200E+00  7.938E-25  6.738E-17 Akari IRC NIR N3
4.100E+00  3.655E-25  3.975E-17 Akari IRC NIR N4
7.000E+00  7.416E-24  1.377E-15 Akari IRC MIR-S S7
9.000E+00  5.258E-24  1.255E-15 Akari IRC MIR-S S9W
1.100E+01  4.124E-24  1.203E-15 Akari IRC MIR-S S11
1.500E+01  3.404E-24  1.354E-15 Akari IRC MIR-L L15
1.800E+01  2.904E-24  1.386E-15 Akari IRC MIR-L L18W
2.400E+01  2.511E-24  1.599E-15 Akari IRC MIR-L L24
6.500E+01  2.664E-23  4.593E-14 Akari FIS N60
8.000E+01  2.772E-23  5.883E-14 Akari FIS WIDE-S
1.400E+02  1.589E-23  5.900E-14 Akari FIS WIDE-L
1.600E+02  1.251E-23  5.310E-14 Akari FIS N160
 
 
 
 


lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  7.839E-31  2.079E-19
9.908E+03  8.127E-31  2.136E-19
9.817E+03  8.425E-31  2.194E-19
9.727E+03  8.733E-31  2.253E-19
9.638E+03  9.053E-31  2.315E-19
9.550E+03  9.385E-31  2.377E-19
9.462E+03  9.729E-31  2.442E-19
9.376E+03  1.009E-30  2.508E-19
9.290E+03  1.046E-30  2.576E-19
9.204E+03  1.084E-30  2.646E-19
9.120E+03  1.124E-30  2.718E-19
9.036E+03  1.165E-30  2.792E-19
8.954E+03  1.207E-30  2.868E-19
8.872E+03  1.251E-30  2.945E-19
8.790E+03  1.297E-30  3.025E-19
8.710E+03  1.345E-30  3.106E-19
8.630E+03  1.394E-30  3.190E-19
8.551E+03  1.445E-30  3.277E-19
8.472E+03  1.497E-30  3.365E-19
8.395E+03  1.552E-30  3.457E-19
8.318E+03  1.609E-30  3.550E-19
8.241E+03  1.668E-30  3.647E-19
8.166E+03  1.729E-30  3.746E-19
8.091E+03  1.793E-30  3.848E-19
8.017E+03  1.859E-30  3.952E-19
7.943E+03  1.927E-30  4.060E-19
7.870E+03  1.998E-30  4.171E-19
7.798E+03  2.071E-30  4.285E-19
7.727E+03  2.148E-30  4.402E-19
7.656E+03  2.227E-30  4.522E-19
7.586E+03  2.309E-30  4.646E-19
7.516E+03  2.394E-30  4.773E-19
7.447E+03  2.482E-30  4.904E-19
7.379E+03  2.574E-30  5.038E-19
7.311E+03  2.669E-30  5.176E-19
7.244E+03  2.768E-30  5.319E-19
7.178E+03  2.870E-30  5.465E-19
7.112E+03  2.976E-30  5.615E-19
7.047E+03  3.087E-30  5.770E-19
6.982E+03  3.201E-30  5.929E-19
6.918E+03  3.319E-30  6.092E-19
6.855E+03  3.442E-30  6.259E-19
6.792E+03  3.570E-30  6.432E-19
6.730E+03  3.702E-30  6.609E-19
6.668E+03  3.840E-30  6.792E-19
6.607E+03  3.982E-30  6.979E-19
6.546E+03  4.130E-30  7.172E-19
6.486E+03  4.284E-30  7.371E-19
6.427E+03  4.443E-30  7.575E-19
6.368E+03  4.609E-30  7.785E-19
6.310E+03  4.781E-30  8.001E-19
6.252E+03  4.959E-30  8.224E-19
6.194E+03  5.144E-30  8.452E-19
6.138E+03  5.336E-30  8.687E-19
6.081E+03  5.535E-30  8.929E-19
6.026E+03  5.742E-30  9.178E-19
5.970E+03  5.957E-30  9.434E-19
5.916E+03  6.180E-30  9.698E-19
5.861E+03  6.412E-30  9.969E-19
5.808E+03  6.652E-30  1.025E-18
5.754E+03  6.902E-30  1.053E-18
5.702E+03  7.161E-30  1.083E-18
5.649E+03  7.429E-30  1.113E-18
5.598E+03  7.709E-30  1.145E-18
5.546E+03  7.998E-30  1.177E-18
5.495E+03  8.299E-30  1.210E-18
