Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         4 = grain model
 4.000E-08 4.000E-01 2.250E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 7.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.000E+01 = <U> 
     mmp83 = radfield
 4.449E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  9.260E-26  3.120E-18 COBE-DIRBE
2.220E+00  1.168E-25  6.878E-18 COBE-DIRBE
3.530E+00  7.816E-25  7.318E-17 COBE-DIRBE
4.880E+00  3.481E-25  4.506E-17 COBE-DIRBE
1.229E+01  3.197E-24  1.042E-15 COBE-DIRBE
2.079E+01  2.355E-24  1.299E-15 COBE-DIRBE
5.599E+01  2.253E-23  3.345E-14 COBE-DIRBE
9.770E+01  2.804E-23  7.266E-14 COBE-DIRBE
1.479E+02  1.639E-23  6.430E-14 COBE-DIRBE
2.479E+02  4.007E-24  2.634E-14 COBE-DIRBE
1.200E+01  3.465E-24  1.103E-15 IRAS
2.500E+01  2.334E-24  1.547E-15 IRAS
6.000E+01  2.396E-23  3.813E-14 IRAS
1.000E+02  2.762E-23  7.325E-14 IRAS
3.550E+00  9.095E-25  8.564E-17 SST-IRAC
4.493E+00  2.518E-25  3.001E-17 SST-IRAC
5.731E+00  2.046E-24  3.110E-16 SST-IRAC
7.872E+00  4.999E-24  1.044E-15 SST-IRAC
2.368E+01  2.056E-24  1.292E-15 SST-MIPS
7.142E+01  2.678E-23  5.074E-14 SST-MIPS
1.559E+02  1.368E-23  5.659E-14 SST-MIPS
1.600E+01  2.606E-24  1.106E-15 SST-IRSPU
2.200E+01  2.170E-24  1.266E-15 SST-IRSPU
7.500E+01  2.310E-23  4.595E-14 Herschel-PACS
1.100E+02  2.005E-23  5.850E-14 Herschel-PACS
1.700E+02  1.038E-23  4.679E-14 Herschel-PACS
2.500E+02  3.336E-24  2.212E-14 Herschel-SPIRE
3.600E+02  8.306E-25  7.932E-15 Herschel-SPIRE
5.200E+02  1.880E-25  2.593E-15 Herschel-SPIRE
2.400E+00  1.312E-25  8.356E-18 Akari IRC NIR N2
3.200E+00  6.001E-25  5.093E-17 Akari IRC NIR N3
4.100E+00  2.736E-25  2.976E-17 Akari IRC NIR N4
7.000E+00  5.682E-24  1.055E-15 Akari IRC MIR-S S7
9.000E+00  4.002E-24  9.555E-16 Akari IRC MIR-S S9W
1.100E+01  3.145E-24  9.176E-16 Akari IRC MIR-S S11
1.500E+01  2.709E-24  1.078E-15 Akari IRC MIR-L L15
1.800E+01  2.358E-24  1.126E-15 Akari IRC MIR-L L18W
2.400E+01  2.099E-24  1.336E-15 Akari IRC MIR-L L24
6.500E+01  2.778E-23  4.791E-14 Akari FIS N60
8.000E+01  2.880E-23  6.112E-14 Akari FIS WIDE-S
1.400E+02  1.637E-23  6.078E-14 Akari FIS WIDE-L
1.600E+02  1.287E-23  5.464E-14 Akari FIS N160
 
 
 
 


lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  7.905E-31  2.097E-19
9.908E+03  8.195E-31  2.154E-19
9.817E+03  8.496E-31  2.212E-19
9.727E+03  8.807E-31  2.272E-19
9.638E+03  9.130E-31  2.334E-19
9.550E+03  9.465E-31  2.398E-19
9.462E+03  9.812E-31  2.463E-19
9.376E+03  1.017E-30  2.530E-19
9.290E+03  1.054E-30  2.598E-19
9.204E+03  1.093E-30  2.669E-19
9.120E+03  1.133E-30  2.742E-19
9.036E+03  1.175E-30  2.816E-19
8.954E+03  1.218E-30  2.892E-19
8.872E+03  1.262E-30  2.970E-19
8.790E+03  1.308E-30  3.051E-19
8.710E+03  1.356E-30  3.133E-19
8.630E+03  1.406E-30  3.218E-19
8.551E+03  1.457E-30  3.305E-19
8.472E+03  1.510E-30  3.394E-19
8.395E+03  1.566E-30  3.486E-19
8.318E+03  1.623E-30  3.581E-19
8.241E+03  1.683E-30  3.678E-19
8.166E+03  1.744E-30  3.778E-19
8.091E+03  1.808E-30  3.881E-19
8.017E+03  1.875E-30  3.987E-19
7.943E+03  1.944E-30  4.095E-19
7.870E+03  2.015E-30  4.207E-19
7.798E+03  2.089E-30  4.322E-19
7.727E+03  2.166E-30  4.440E-19
7.656E+03  2.246E-30  4.562E-19
7.586E+03  2.329E-30  4.686E-19
7.516E+03  2.415E-30  4.815E-19
7.447E+03  2.504E-30  4.947E-19
7.379E+03  2.597E-30  5.083E-19
7.311E+03  2.693E-30  5.222E-19
7.244E+03  2.792E-30  5.366E-19
7.178E+03  2.896E-30  5.513E-19
7.112E+03  3.003E-30  5.665E-19
7.047E+03  3.114E-30  5.821E-19
6.982E+03  3.229E-30  5.981E-19
6.918E+03  3.349E-30  6.146E-19
6.855E+03  3.473E-30  6.315E-19
6.792E+03  3.602E-30  6.489E-19
6.730E+03  3.736E-30  6.668E-19
