Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         3 = grain model
 4.000E-08 4.000E-01 1.500E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 5.000E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.000E+01 = <U> 
     mmp83 = radfield
 4.444E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  6.600E-26  2.223E-18 COBE-DIRBE
2.220E+00  8.303E-26  4.889E-18 COBE-DIRBE
3.530E+00  5.521E-25  5.169E-17 COBE-DIRBE
4.880E+00  2.461E-25  3.186E-17 COBE-DIRBE
1.229E+01  2.446E-24  7.973E-16 COBE-DIRBE
2.079E+01  2.136E-24  1.178E-15 COBE-DIRBE
5.599E+01  2.362E-23  3.508E-14 COBE-DIRBE
9.770E+01  2.871E-23  7.441E-14 COBE-DIRBE
1.479E+02  1.660E-23  6.511E-14 COBE-DIRBE
2.479E+02  4.036E-24  2.653E-14 COBE-DIRBE
1.200E+01  2.600E-24  8.276E-16 IRAS
2.500E+01  2.225E-24  1.475E-15 IRAS
6.000E+01  2.504E-23  3.985E-14 IRAS
1.000E+02  2.825E-23  7.494E-14 IRAS
3.550E+00  6.424E-25  6.049E-17 SST-IRAC
4.493E+00  1.780E-25  2.122E-17 SST-IRAC
5.731E+00  1.451E-24  2.206E-16 SST-IRAC
7.872E+00  3.614E-24  7.546E-16 SST-IRAC
2.368E+01  1.978E-24  1.242E-15 SST-MIPS
7.142E+01  2.777E-23  5.261E-14 SST-MIPS
1.559E+02  1.383E-23  5.721E-14 SST-MIPS
1.600E+01  2.158E-24  9.160E-16 SST-IRSPU
2.200E+01  2.050E-24  1.197E-15 SST-IRSPU
7.500E+01  2.396E-23  4.767E-14 Herschel-PACS
1.100E+02  2.050E-23  5.982E-14 Herschel-PACS
1.700E+02  1.049E-23  4.730E-14 Herschel-PACS
2.500E+02  3.359E-24  2.227E-14 Herschel-SPIRE
3.600E+02  8.349E-25  7.973E-15 Herschel-SPIRE
5.200E+02  1.887E-25  2.603E-15 Herschel-SPIRE
2.400E+00  9.318E-26  5.932E-18 Akari IRC NIR N2
3.200E+00  4.240E-25  3.599E-17 Akari IRC NIR N3
4.100E+00  1.934E-25  2.104E-17 Akari IRC NIR N4
7.000E+00  4.089E-24  7.592E-16 Akari IRC MIR-S S7
9.000E+00  2.920E-24  6.972E-16 Akari IRC MIR-S S9W
1.100E+01  2.356E-24  6.875E-16 Akari IRC MIR-S S11
1.500E+01  2.250E-24  8.953E-16 Akari IRC MIR-L L15
1.800E+01  2.087E-24  9.964E-16 Akari IRC MIR-L L18W
2.400E+01  1.996E-24  1.271E-15 Akari IRC MIR-L L24
6.500E+01  2.892E-23  4.985E-14 Akari FIS N60
8.000E+01  2.964E-23  6.289E-14 Akari FIS WIDE-S
1.400E+02  1.657E-23  6.152E-14 Akari FIS WIDE-L
1.600E+02  1.301E-23  5.521E-14 Akari FIS N160
 
 
 
 


lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  7.903E-31  2.096E-19
9.908E+03  8.193E-31  2.153E-19
9.817E+03  8.494E-31  2.212E-19
9.727E+03  8.806E-31  2.272E-19
9.638E+03  9.129E-31  2.334E-19
9.550E+03  9.464E-31  2.397E-19
9.462E+03  9.811E-31  2.463E-19
9.376E+03  1.017E-30  2.530E-19
9.290E+03  1.054E-30  2.598E-19
9.204E+03  1.093E-30  2.669E-19
9.120E+03  1.133E-30  2.742E-19
9.036E+03  1.175E-30  2.816E-19
8.954E+03  1.218E-30  2.893E-19
8.872E+03  1.262E-30  2.971E-19
8.790E+03  1.309E-30  3.051E-19
8.710E+03  1.356E-30  3.134E-19
8.630E+03  1.406E-30  3.218E-19
8.551E+03  1.457E-30  3.306E-19
8.472E+03  1.511E-30  3.395E-19
8.395E+03  1.566E-30  3.488E-19
8.318E+03  1.624E-30  3.582E-19
8.241E+03  1.683E-30  3.680E-19
8.166E+03  1.745E-30  3.780E-19
8.091E+03  1.809E-30  3.883E-19
8.017E+03  1.876E-30  3.989E-19
7.943E+03  1.945E-30  4.098E-19
7.870E+03  2.016E-30  4.210E-19
7.798E+03  2.091E-30  4.325E-19
7.727E+03  2.168E-30  4.443E-19
7.656E+03  2.248E-30  4.565E-19
7.586E+03  2.331E-30  4.690E-19
7.516E+03  2.417E-30  4.818E-19
7.447E+03  2.506E-30  4.950E-19
7.379E+03  2.599E-30  5.086E-19
7.311E+03  2.695E-30  5.226E-19
7.244E+03  2.795E-30  5.370E-19
7.178E+03  2.898E-30  5.518E-19
7.112E+03  3.005E-30  5.670E-19
7.047E+03  3.117E-30  5.826E-19
6.982E+03  3.233E-30  5.987E-19
6.918E+03  3.352E-30  6.152E-19
6.855E+03  3.477E-30  6.322E-19
6.792E+03  3.606E-30  6.496E-19
6.730E+03  3.739E-30  6.675E-19
6.668E+03  3.878E-30  6.860E-19
6.607E+03  4.023E-30  7.050E-19
6.546E+03  4.172E-30  7.245E-19
6.486E+03  4.328E-30  7.446E-19
6.427E+03  4.489E-30  7.653E-19
6.368E+03  4.656E-30  7.865E-19
6.310E+03  4.830E-30  8.084E-19
6.252E+03  5.010E-30  8.309E-19
