Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.000E+01 = <U> 
     mmp83 = radfield
 4.468E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
5.105E+03  1.141E-29  1.545E-18
5.058E+03  1.185E-29  1.589E-18
5.012E+03  1.229E-29  1.634E-18
4.966E+03  1.276E-29  1.681E-18
4.920E+03  1.324E-29  1.729E-18
4.875E+03  1.375E-29  1.778E-18
4.831E+03  1.427E-29  1.828E-18
4.786E+03  1.481E-29  1.880E-18
4.742E+03  1.538E-29  1.934E-18
4.699E+03  1.596E-29  1.989E-18
4.656E+03  1.657E-29  2.046E-18
4.613E+03  1.720E-29  2.105E-18
4.571E+03  1.786E-29  2.165E-18
4.529E+03  1.854E-29  2.227E-18
4.487E+03  1.924E-29  2.291E-18
4.446E+03  1.998E-29  2.356E-18
4.406E+03  2.074E-29  2.424E-18
4.365E+03  2.154E-29  2.494E-18
4.325E+03  2.236E-29  2.566E-18
4.285E+03  2.322E-29  2.639E-18
4.246E+03  2.411E-29  2.715E-18
4.207E+03  2.503E-29  2.794E-18
4.169E+03  2.599E-29  2.874E-18
4.130E+03  2.699E-29  2.957E-18
4.093E+03  2.803E-29  3.043E-18
4.055E+03  2.911E-29  3.131E-18
4.018E+03  3.023E-29  3.222E-18
3.981E+03  3.139E-29  3.315E-18
3.945E+03  3.260E-29  3.411E-18
3.908E+03  3.385E-29  3.510E-18
3.873E+03  3.516E-29  3.611E-18
3.837E+03  3.651E-29  3.716E-18
3.802E+03  3.792E-29  3.824E-18
3.767E+03  3.938E-29  3.935E-18
3.733E+03  4.090E-29  4.050E-18
3.698E+03  4.249E-29  4.168E-18
3.664E+03  4.413E-29  4.289E-18
3.631E+03  4.584E-29  4.415E-18
3.597E+03  4.761E-29  4.544E-18
3.565E+03  4.946E-29  4.676E-18
3.532E+03  5.138E-29  4.813E-18
3.499E+03  5.337E-29  4.954E-18
3.467E+03  5.545E-29  5.100E-18
3.436E+03  5.760E-29  5.249E-18
3.404E+03  5.984E-29  5.404E-18
3.373E+03  6.217E-29  5.563E-18
3.342E+03  6.460E-29  5.726E-18
3.311E+03  6.711E-29  5.895E-18
3.281E+03  6.973E-29  6.069E-18
3.251E+03  7.246E-29  6.248E-18
3.221E+03  7.529E-29  6.433E-18
3.192E+03  7.823E-29  6.623E-18
3.162E+03  8.129E-29  6.819E-18
3.133E+03  8.447E-29  7.021E-18
3.105E+03  8.778E-29  7.229E-18
3.076E+03  9.122E-29  7.443E-18
3.048E+03  9.480E-29  7.664E-18
3.020E+03  9.852E-29  7.892E-18
2.992E+03  1.024E-28  8.126E-18
2.965E+03  1.064E-28  8.367E-18
2.938E+03  1.106E-28  8.615E-18
2.911E+03  1.149E-28  8.871E-18
2.884E+03  1.194E-28  9.135E-18
2.858E+03  1.241E-28  9.407E-18
2.831E+03  1.290E-28  9.687E-18
2.805E+03  1.341E-28  9.976E-18
2.780E+03  1.393E-28  1.027E-17
2.754E+03  1.448E-28  1.058E-17
2.729E+03  1.505E-28  1.090E-17
2.704E+03  1.565E-28  1.122E-17
2.679E+03  1.626E-28  1.156E-17
2.655E+03  1.691E-28  1.190E-17
2.630E+03  1.758E-28  1.226E-17
2.606E+03  1.827E-28  1.263E-17
2.582E+03  1.899E-28  1.301E-17
2.559E+03  1.975E-28  1.340E-17
2.535E+03  2.053E-28  1.380E-17
2.512E+03  2.134E-28  1.422E-17
2.489E+03  2.219E-28  1.465E-17
2.466E+03  2.307E-28  1.509E-17
2.443E+03  2.399E-28  1.555E-17
2.421E+03  2.494E-28  1.602E-17
2.399E+03  2.593E-28  1.650E-17
2.377E+03  2.696E-28  1.700E-17
2.355E+03  2.804E-28  1.752E-17
2.333E+03  2.915E-28  1.805E-17
2.312E+03  3.032E-28  1.859E-17
2.291E+03  3.153E-28  1.916E-17
2.270E+03  3.278E-28  1.974E-17
2.249E+03  3.409E-28  2.034E-17
2.228E+03  3.546E-28  2.096E-17
2.208E+03  3.687E-28  2.160E-17
2.188E+03  3.835E-28  2.225E-17
2.168E+03  3.988E-28  2.293E-17
2.148E+03  4.148E-28  2.363E-17
2.128E+03  4.314E-28  2.435E-17
2.109E+03  4.487E-28  2.510E-17
2.089E+03  4.667E-28  2.586E-17
2.070E+03  4.854E-28  2.665E-17
2.051E+03  5.049E-28  2.747E-17
2.032E+03  5.251E-28  2.831E-17
2.014E+03  5.462E-28  2.918E-17
1.995E+03  5.681E-28  3.007E-17
1.977E+03  5.910E-28  3.099E-17
1.959E+03  6.147E-28  3.194E-17
1.941E+03  6.394E-28  3.292E-17
1.923E+03  6.651E-28  3.393E-17
1.905E+03  6.919E-28  3.497E-17
1.888E+03  7.197E-28  3.604E-17
1.871E+03  7.487E-28  3.715E-17
1.854E+03  7.789E-28  3.829E-17
1.837E+03  8.103E-28  3.947E-17
1.820E+03  8.429E-28  4.069E-17
1.803E+03  8.769E-28  4.194E-17
1.786E+03  9.123E-28  4.323E-17
1.770E+03  9.491E-28  4.457E-17
1.754E+03  9.875E-28  4.594E-17
1.738E+03  1.027E-27  4.736E-17
1.722E+03  1.069E-27  4.882E-17
1.706E+03  1.112E-27  5.033E-17
1.690E+03  1.157E-27  5.188E-17
1.675E+03  1.204E-27  5.348E-17
1.660E+03  1.252E-27  5.514E-17
1.644E+03  1.303E-27  5.684E-17
1.629E+03  1.356E-27  5.860E-17
1.614E+03  1.411E-27  6.041E-17
1.600E+03  1.468E-27  6.228E-17
1.585E+03  1.527E-27  6.421E-17
1.570E+03  1.589E-27  6.620E-17
1.556E+03  1.653E-27  6.825E-17
1.542E+03  1.720E-27  7.036E-17
1.528E+03  1.790E-27  7.254E-17
1.514E+03  1.863E-27  7.479E-17
1.500E+03  1.938E-27  7.710E-17
1.486E+03  2.017E-27  7.949E-17
1.472E+03  2.099E-27  8.196E-17
1.459E+03  2.184E-27  8.451E-17
1.445E+03  2.272E-27  8.713E-17
1.432E+03  2.365E-27  8.983E-17
1.419E+03  2.461E-27  9.262E-17
1.406E+03  2.561E-27  9.550E-17
1.393E+03  2.665E-27  9.847E-17
1.380E+03  2.773E-27  1.015E-16
1.368E+03  2.885E-27  1.047E-16
1.355E+03  3.003E-27  1.079E-16
1.343E+03  3.125E-27  1.113E-16
1.330E+03  3.252E-27  1.148E-16
1.318E+03  3.384E-27  1.183E-16
1.306E+03  3.521E-27  1.220E-16
1.294E+03  3.664E-27  1.258E-16
1.282E+03  3.813E-27  1.297E-16
1.271E+03  3.968E-27  1.337E-16
1.259E+03  4.129E-27  1.379E-16
1.247E+03  4.297E-27  1.422E-16
1.236E+03  4.471E-27  1.466E-16
1.225E+03  4.653E-27  1.511E-16
1.213E+03  4.842E-27  1.558E-16
1.202E+03  5.038E-27  1.607E-16
1.191E+03  5.243E-27  1.657E-16
1.180E+03  5.456E-27  1.708E-16
1.169E+03  5.677E-27  1.761E-16
1.159E+03  5.907E-27  1.816E-16
1.148E+03  6.147E-27  1.872E-16
1.138E+03  6.396E-27  1.930E-16
1.127E+03  6.656E-27  1.990E-16
1.117E+03  6.926E-27  2.052E-16
1.107E+03  7.207E-27  2.115E-16
1.096E+03  7.499E-27  2.181E-16
1.086E+03  7.802E-27  2.249E-16
1.076E+03  8.119E-27  2.318E-16
1.067E+03  8.447E-27  2.390E-16
1.057E+03  8.789E-27  2.464E-16
1.047E+03  9.145E-27  2.540E-16
1.038E+03  9.515E-27  2.619E-16
1.028E+03  9.900E-27  2.700E-16
1.019E+03  1.030E-26  2.783E-16
1.009E+03  1.072E-26  2.869E-16
1.000E+03  1.115E-26  2.957E-16
9.908E+02  1.160E-26  3.049E-16
9.817E+02  1.207E-26  3.143E-16
9.727E+02  1.256E-26  3.240E-16
9.638E+02  1.306E-26  3.340E-16
9.550E+02  1.359E-26  3.443E-16
9.462E+02  1.414E-26  3.549E-16
9.376E+02  1.471E-26  3.658E-16
9.290E+02  1.530E-26  3.771E-16
9.204E+02  1.592E-26  3.887E-16
9.120E+02  1.656E-26  4.007E-16
9.036E+02  1.723E-26  4.130E-16
8.954E+02  1.792E-26  4.256E-16
8.872E+02  1.864E-26  4.387E-16
8.790E+02  1.939E-26  4.521E-16
8.710E+02  2.017E-26  4.660E-16
8.630E+02  2.098E-26  4.802E-16
8.551E+02  2.182E-26  4.949E-16
