Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         5 = grain model
 4.000E-08 4.000E-01 3.000E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 1.000E-05 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+04 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 6.915E+01 = <U> 
     mmp83 = radfield
 3.108E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  8.589E-25  2.894E-17 COBE-DIRBE
2.220E+00  1.098E-24  6.469E-17 COBE-DIRBE
3.530E+00  7.144E-24  6.690E-16 COBE-DIRBE
4.880E+00  3.347E-24  4.332E-16 COBE-DIRBE
1.229E+01  3.481E-23  1.135E-14 COBE-DIRBE
2.079E+01  4.818E-23  2.657E-14 COBE-DIRBE
5.599E+01  1.765E-22  2.621E-13 COBE-DIRBE
9.770E+01  8.446E-23  2.189E-13 COBE-DIRBE
1.479E+02  3.361E-23  1.318E-13 COBE-DIRBE
2.479E+02  6.389E-24  4.201E-14 COBE-DIRBE
1.200E+01  3.569E-23  1.136E-14 IRAS
2.500E+01  6.537E-23  4.335E-14 IRAS
6.000E+01  1.674E-22  2.665E-13 IRAS
1.000E+02  8.024E-23  2.128E-13 IRAS
3.550E+00  8.307E-24  7.822E-16 SST-IRAC
4.493E+00  2.341E-24  2.791E-16 SST-IRAC
5.731E+00  2.006E-23  3.050E-15 SST-IRAC
7.872E+00  4.924E-23  1.028E-14 SST-IRAC
2.368E+01  5.769E-23  3.623E-14 SST-MIPS
7.142E+01  1.264E-22  2.394E-13 SST-MIPS
1.559E+02  2.628E-23  1.087E-13 SST-MIPS
1.600E+01  3.301E-23  1.401E-14 SST-IRSPU
2.200E+01  5.508E-23  3.214E-14 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  9.575E-31  2.540E-19
9.908E+03  9.926E-31  2.609E-19
9.817E+03  1.029E-30  2.680E-19
9.727E+03  1.067E-30  2.753E-19
9.638E+03  1.106E-30  2.827E-19
9.550E+03  1.146E-30  2.904E-19
9.462E+03  1.189E-30  2.983E-19
9.376E+03  1.232E-30  3.064E-19
9.290E+03  1.277E-30  3.148E-19
9.204E+03  1.324E-30  3.233E-19
9.120E+03  1.373E-30  3.321E-19
9.036E+03  1.423E-30  3.412E-19
8.954E+03  1.475E-30  3.504E-19
8.872E+03  1.529E-30  3.599E-19
8.790E+03  1.585E-30  3.696E-19
8.710E+03  1.643E-30  3.796E-19
8.630E+03  1.703E-30  3.899E-19
8.551E+03  1.765E-30  4.004E-19
8.472E+03  1.830E-30  4.113E-19
8.395E+03  1.897E-30  4.225E-19
8.318E+03  1.967E-30  4.339E-19
8.241E+03  2.039E-30  4.457E-19
8.166E+03  2.114E-30  4.579E-19
8.091E+03  2.192E-30  4.703E-19
8.017E+03  2.272E-30  4.832E-19
7.943E+03  2.356E-30  4.963E-19
7.870E+03  2.442E-30  5.099E-19
7.798E+03  2.532E-30  5.238E-19
7.727E+03  2.626E-30  5.382E-19
7.656E+03  2.723E-30  5.529E-19
7.586E+03  2.823E-30  5.681E-19
7.516E+03  2.927E-30  5.836E-19
7.447E+03  3.036E-30  5.997E-19
7.379E+03  3.148E-30  6.161E-19
7.311E+03  3.264E-30  6.331E-19
7.244E+03  3.385E-30  6.505E-19
7.178E+03  3.511E-30  6.684E-19
7.112E+03  3.641E-30  6.868E-19
7.047E+03  3.776E-30  7.058E-19
6.982E+03  3.916E-30  7.252E-19
6.918E+03  4.061E-30  7.452E-19
6.855E+03  4.212E-30  7.658E-19
6.792E+03  4.368E-30  7.869E-19
6.730E+03  4.530E-30  8.087E-19
6.668E+03  4.698E-30  8.310E-19
6.607E+03  4.873E-30  8.541E-19
6.546E+03  5.055E-30  8.777E-19
6.486E+03  5.243E-30  9.021E-19
6.427E+03  5.438E-30  9.271E-19
6.368E+03  5.641E-30  9.529E-19
6.310E+03  5.852E-30  9.794E-19
6.252E+03  6.070E-30  1.007E-18
6.194E+03  6.297E-30  1.035E-18
6.138E+03  6.533E-30  1.064E-18
6.081E+03  6.777E-30  1.093E-18
6.026E+03  7.031E-30  1.124E-18
5.970E+03  7.294E-30  1.155E-18
5.916E+03  7.568E-30  1.188E-18
5.861E+03  7.852E-30  1.221E-18
5.808E+03  8.147E-30  1.255E-18
5.754E+03  8.453E-30  1.290E-18
5.702E+03  8.771E-30  1.326E-18
5.649E+03  9.101E-30  1.364E-18
5.598E+03  9.443E-30  1.402E-18
5.546E+03  9.799E-30  1.442E-18
5.495E+03  1.017E-29  1.482E-18
5.445E+03  1.055E-29  1.524E-18
5.395E+03  1.095E-29  1.567E-18
5.346E+03  1.136E-29  1.611E-18
5.297E+03  1.179E-29  1.657E-18
5.248E+03  1.224E-29  1.704E-18
5.200E+03  1.270E-29  1.752E-18
5.152E+03  1.318E-29  1.802E-18
5.105E+03  1.368E-29  1.853E-18
5.058E+03  1.420E-29  1.905E-18
5.012E+03  1.474E-29  1.959E-18
4.966E+03  1.530E-29  2.015E-18
4.920E+03  1.588E-29  2.072E-18
4.875E+03  1.648E-29  2.131E-18
4.831E+03  1.711E-29  2.192E-18
4.786E+03  1.776E-29  2.255E-18
4.742E+03  1.843E-29  2.319E-18
4.699E+03  1.914E-29  2.385E-18
4.656E+03  1.986E-29  2.453E-18
4.613E+03  2.062E-29  2.523E-18
4.571E+03  2.141E-29  2.596E-18
4.529E+03  2.223E-29  2.670E-18
4.487E+03  2.308E-29  2.747E-18
4.446E+03  2.396E-29  2.826E-18
4.406E+03  2.488E-29  2.907E-18
4.365E+03  2.583E-29  2.991E-18
4.325E+03  2.682E-29  3.077E-18
4.285E+03  2.785E-29  3.165E-18
4.246E+03  2.891E-29  3.257E-18
4.207E+03  3.002E-29  3.351E-18
4.169E+03  3.118E-29  3.448E-18
4.130E+03  3.238E-29  3.547E-18
4.093E+03  3.362E-29  3.650E-18
4.055E+03  3.492E-29  3.756E-18
4.018E+03  3.626E-29  3.865E-18
3.981E+03  3.766E-29  3.977E-18
3.945E+03  3.911E-29  4.092E-18
3.908E+03  4.062E-29  4.211E-18
3.873E+03  4.218E-29  4.333E-18
3.837E+03  4.381E-29  4.459E-18
3.802E+03  4.550E-29  4.589E-18
3.767E+03  4.726E-29  4.723E-18
3.733E+03  4.909E-29  4.861E-18
3.698E+03  5.099E-29  5.003E-18
3.664E+03  5.297E-29  5.149E-18
3.631E+03  5.503E-29  5.299E-18
3.597E+03  5.716E-29  5.455E-18
3.565E+03  5.938E-29  5.615E-18
3.532E+03  6.169E-29  5.779E-18
3.499E+03  6.409E-29  5.949E-18
3.467E+03  6.659E-29  6.124E-18
3.436E+03  6.918E-29  6.305E-18
3.404E+03  7.188E-29  6.490E-18
3.373E+03  7.469E-29  6.682E-18
3.342E+03  7.760E-29  6.879E-18
3.311E+03  8.064E-29  7.083E-18
3.281E+03  8.379E-29  7.292E-18
3.251E+03  8.707E-29  7.508E-18
3.221E+03  9.048E-29  7.731E-18
3.192E+03  9.403E-29  7.960E-18
3.162E+03  9.772E-29  8.197E-18
3.133E+03  1.016E-28  8.440E-18
3.105E+03  1.055E-28  8.691E-18
3.076E+03  1.097E-28  8.950E-18
3.048E+03  1.140E-28  9.217E-18
3.020E+03  1.185E-28  9.492E-18
2.992E+03  1.232E-28  9.775E-18
2.965E+03  1.280E-28  1.007E-17
