Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         7 = grain model
 4.000E-08 4.000E-01 4.500E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 1.500E-05 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+04 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 6.915E+01 = <U> 
     mmp83 = radfield
 3.161E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.269E-24  4.274E-17 COBE-DIRBE
2.220E+00  1.623E-24  9.556E-17 COBE-DIRBE
3.530E+00  1.057E-23  9.895E-16 COBE-DIRBE
4.880E+00  4.942E-24  6.398E-16 COBE-DIRBE
1.229E+01  4.794E-23  1.563E-14 COBE-DIRBE
2.079E+01  5.355E-23  2.953E-14 COBE-DIRBE
5.599E+01  1.640E-22  2.435E-13 COBE-DIRBE
9.770E+01  8.101E-23  2.100E-13 COBE-DIRBE
1.479E+02  3.272E-23  1.284E-13 COBE-DIRBE
2.479E+02  6.277E-24  4.127E-14 COBE-DIRBE
1.200E+01  5.002E-23  1.592E-14 IRAS
2.500E+01  6.649E-23  4.409E-14 IRAS
6.000E+01  1.560E-22  2.483E-13 IRAS
1.000E+02  7.708E-23  2.045E-13 IRAS
3.550E+00  1.229E-23  1.157E-15 SST-IRAC
4.493E+00  3.459E-24  4.122E-16 SST-IRAC
5.731E+00  2.952E-23  4.488E-15 SST-IRAC
7.872E+00  7.112E-23  1.485E-14 SST-IRAC
2.368E+01  5.866E-23  3.685E-14 SST-MIPS
7.142E+01  1.194E-22  2.262E-13 SST-MIPS
1.559E+02  2.565E-23  1.061E-13 SST-MIPS
1.600E+01  4.206E-23  1.785E-14 SST-IRSPU
2.200E+01  5.729E-23  3.344E-14 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  9.648E-31  2.559E-19
9.908E+03  1.000E-30  2.629E-19
9.817E+03  1.037E-30  2.700E-19
9.727E+03  1.075E-30  2.773E-19
9.638E+03  1.114E-30  2.848E-19
9.550E+03  1.155E-30  2.926E-19
9.462E+03  1.197E-30  3.005E-19
9.376E+03  1.241E-30  3.087E-19
9.290E+03  1.287E-30  3.170E-19
9.204E+03  1.334E-30  3.256E-19
9.120E+03  1.383E-30  3.345E-19
9.036E+03  1.433E-30  3.436E-19
8.954E+03  1.486E-30  3.528E-19
8.872E+03  1.540E-30  3.623E-19
8.790E+03  1.596E-30  3.721E-19
8.710E+03  1.654E-30  3.822E-19
8.630E+03  1.715E-30  3.925E-19
8.551E+03  1.777E-30  4.031E-19
8.472E+03  1.842E-30  4.140E-19
8.395E+03  1.910E-30  4.252E-19
8.318E+03  1.979E-30  4.367E-19
8.241E+03  2.052E-30  4.486E-19
8.166E+03  2.127E-30  4.608E-19
8.091E+03  2.205E-30  4.733E-19
8.017E+03  2.286E-30  4.862E-19
7.943E+03  2.370E-30  4.994E-19
7.870E+03  2.457E-30  5.130E-19
7.798E+03  2.548E-30  5.270E-19
7.727E+03  2.641E-30  5.414E-19
7.656E+03  2.739E-30  5.562E-19
7.586E+03  2.840E-30  5.714E-19
7.516E+03  2.944E-30  5.870E-19
7.447E+03  3.053E-30  6.031E-19
7.379E+03  3.166E-30  6.196E-19
7.311E+03  3.283E-30  6.366E-19
7.244E+03  3.404E-30  6.541E-19
7.178E+03  3.530E-30  6.721E-19
7.112E+03  3.661E-30  6.906E-19
7.047E+03  3.796E-30  7.096E-19
6.982E+03  3.937E-30  7.291E-19
6.918E+03  4.082E-30  7.492E-19
6.855E+03  4.233E-30  7.698E-19
6.792E+03  4.390E-30  7.910E-19
6.730E+03  4.553E-30  8.128E-19
6.668E+03  4.722E-30  8.352E-19
6.607E+03  4.897E-30  8.583E-19
6.546E+03  5.079E-30  8.820E-19
6.486E+03  5.268E-30  9.064E-19
6.427E+03  5.464E-30  9.316E-19
6.368E+03  5.668E-30  9.574E-19
6.310E+03  5.879E-30  9.840E-19
6.252E+03  6.098E-30  1.011E-18
6.194E+03  6.326E-30  1.039E-18
6.138E+03  6.562E-30  1.068E-18
6.081E+03  6.807E-30  1.098E-18
6.026E+03  7.062E-30  1.129E-18
5.970E+03  7.326E-30  1.160E-18
5.916E+03  7.600E-30  1.193E-18
5.861E+03  7.885E-30  1.226E-18
5.808E+03  8.181E-30  1.260E-18
5.754E+03  8.488E-30  1.296E-18
5.702E+03  8.806E-30  1.332E-18
5.649E+03  9.137E-30  1.369E-18
5.598E+03  9.481E-30  1.408E-18
5.546E+03  9.837E-30  1.447E-18
5.495E+03  1.021E-29  1.488E-18
5.445E+03  1.059E-29  1.530E-18
5.395E+03  1.099E-29  1.573E-18
5.346E+03  1.141E-29  1.617E-18
5.297E+03  1.184E-29  1.663E-18
5.248E+03  1.228E-29  1.710E-18
5.200E+03  1.275E-29  1.758E-18
5.152E+03  1.323E-29  1.808E-18
5.105E+03  1.373E-29  1.859E-18
5.058E+03  1.425E-29  1.912E-18
5.012E+03  1.479E-29  1.966E-18
4.966E+03  1.535E-29  2.022E-18
4.920E+03  1.593E-29  2.079E-18
4.875E+03  1.653E-29  2.138E-18
4.831E+03  1.716E-29  2.199E-18
4.786E+03  1.781E-29  2.262E-18
4.742E+03  1.849E-29  2.326E-18
4.699E+03  1.919E-29  2.392E-18
4.656E+03  1.992E-29  2.461E-18
4.613E+03  2.068E-29  2.531E-18
