Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         4 = grain model
 4.000E-08 4.000E-01 2.250E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 7.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.151E+02 = <U> 
     mmp83 = radfield
 5.115E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
5.105E+03  1.385E-29  1.875E-18
5.058E+03  1.437E-29  1.928E-18
5.012E+03  1.492E-29  1.983E-18
4.966E+03  1.548E-29  2.039E-18
4.920E+03  1.607E-29  2.097E-18
4.875E+03  1.668E-29  2.157E-18
4.831E+03  1.731E-29  2.219E-18
4.786E+03  1.797E-29  2.282E-18
4.742E+03  1.866E-29  2.347E-18
4.699E+03  1.937E-29  2.414E-18
4.656E+03  2.011E-29  2.483E-18
4.613E+03  2.087E-29  2.554E-18
4.571E+03  2.167E-29  2.627E-18
4.529E+03  2.250E-29  2.703E-18
4.487E+03  2.336E-29  2.780E-18
4.446E+03  2.425E-29  2.860E-18
4.406E+03  2.518E-29  2.943E-18
4.365E+03  2.615E-29  3.027E-18
4.325E+03  2.715E-29  3.115E-18
4.285E+03  2.819E-29  3.205E-18
4.246E+03  2.927E-29  3.297E-18
4.207E+03  3.040E-29  3.392E-18
4.169E+03  3.157E-29  3.491E-18
4.130E+03  3.278E-29  3.592E-18
4.093E+03  3.404E-29  3.696E-18
4.055E+03  3.535E-29  3.803E-18
4.018E+03  3.672E-29  3.913E-18
3.981E+03  3.813E-29  4.027E-18
3.945E+03  3.960E-29  4.144E-18
3.908E+03  4.113E-29  4.264E-18
3.873E+03  4.272E-29  4.388E-18
3.837E+03  4.437E-29  4.516E-18
3.802E+03  4.608E-29  4.647E-18
3.767E+03  4.786E-29  4.783E-18
3.733E+03  4.972E-29  4.922E-18
3.698E+03  5.164E-29  5.066E-18
3.664E+03  5.365E-29  5.215E-18
3.631E+03  5.573E-29  5.367E-18
3.597E+03  5.789E-29  5.525E-18
3.565E+03  6.014E-29  5.687E-18
3.532E+03  6.248E-29  5.854E-18
3.499E+03  6.492E-29  6.026E-18
3.467E+03  6.745E-29  6.203E-18
3.436E+03  7.008E-29  6.386E-18
3.404E+03  7.281E-29  6.575E-18
3.373E+03  7.566E-29  6.769E-18
3.342E+03  7.861E-29  6.969E-18
3.311E+03  8.169E-29  7.175E-18
3.281E+03  8.489E-29  7.388E-18
3.251E+03  8.821E-29  7.607E-18
3.221E+03  9.167E-29  7.832E-18
3.192E+03  9.526E-29  8.065E-18
3.162E+03  9.900E-29  8.305E-18
3.133E+03  1.029E-28  8.552E-18
3.105E+03  1.069E-28  8.807E-18
3.076E+03  1.111E-28  9.069E-18
3.048E+03  1.155E-28  9.340E-18
3.020E+03  1.201E-28  9.619E-18
2.992E+03  1.248E-28  9.906E-18
2.965E+03  1.297E-28  1.020E-17
2.938E+03  1.348E-28  1.051E-17
2.911E+03  1.401E-28  1.082E-17
2.884E+03  1.456E-28  1.114E-17
2.858E+03  1.514E-28  1.148E-17
2.831E+03  1.574E-28  1.182E-17
2.805E+03  1.636E-28  1.217E-17
2.780E+03  1.701E-28  1.254E-17
2.754E+03  1.768E-28  1.292E-17
2.729E+03  1.838E-28  1.330E-17
2.704E+03  1.911E-28  1.370E-17
2.679E+03  1.986E-28  1.412E-17
2.655E+03  2.065E-28  1.454E-17
2.630E+03  2.147E-28  1.498E-17
2.606E+03  2.233E-28  1.543E-17
2.582E+03  2.321E-28  1.590E-17
2.559E+03  2.414E-28  1.638E-17
2.535E+03  2.510E-28  1.688E-17
2.512E+03  2.610E-28  1.739E-17
2.489E+03  2.714E-28  1.792E-17
2.466E+03  2.822E-28  1.846E-17
2.443E+03  2.935E-28  1.902E-17
2.421E+03  3.052E-28  1.960E-17
2.399E+03  3.174E-28  2.020E-17
2.377E+03  3.302E-28  2.082E-17
2.355E+03  3.434E-28  2.145E-17
2.333E+03  3.571E-28  2.211E-17
2.312E+03  3.714E-28  2.278E-17
2.291E+03  3.863E-28  2.348E-17
2.270E+03  4.019E-28  2.420E-17
2.249E+03  4.180E-28  2.494E-17
2.228E+03  4.348E-28  2.570E-17
2.208E+03  4.523E-28  2.649E-17
2.188E+03  4.705E-28  2.730E-17
2.168E+03  4.894E-28  2.814E-17
2.148E+03  5.091E-28  2.901E-17
2.128E+03  5.296E-28  2.990E-17
2.109E+03  5.510E-28  3.082E-17
2.089E+03  5.732E-28  3.177E-17
2.070E+03  5.963E-28  3.275E-17
2.051E+03  6.204E-28  3.376E-17
2.032E+03  6.455E-28  3.480E-17
2.014E+03  6.716E-28  3.587E-17
1.995E+03  6.987E-28  3.698E-17
1.977E+03  7.270E-28  3.812E-17
1.959E+03  7.564E-28  3.930E-17
1.941E+03  7.870E-28  4.052E-17
1.923E+03  8.188E-28  4.177E-17
1.905E+03  8.520E-28  4.306E-17
1.888E+03  8.865E-28  4.440E-17
1.871E+03  9.225E-28  4.578E-17
1.854E+03  9.599E-28  4.720E-17
1.837E+03  9.989E-28  4.866E-17
1.820E+03  1.039E-27  5.017E-17
1.803E+03  1.082E-27  5.173E-17
1.786E+03  1.126E-27  5.334E-17
1.770E+03  1.171E-27  5.500E-17
1.754E+03  1.219E-27  5.671E-17
1.738E+03  1.269E-27  5.848E-17
1.722E+03  1.320E-27  6.030E-17
1.706E+03  1.374E-27  6.218E-17
1.690E+03  1.430E-27  6.412E-17
1.675E+03  1.488E-27  6.612E-17
1.660E+03  1.549E-27  6.818E-17
1.644E+03  1.612E-27  7.031E-17
1.629E+03  1.678E-27  7.251E-17
1.614E+03  1.746E-27  7.478E-17
1.600E+03  1.817E-27  7.711E-17
1.585E+03  1.892E-27  7.952E-17
1.570E+03  1.969E-27  8.201E-17
1.556E+03  2.049E-27  8.458E-17
1.542E+03  2.133E-27  8.722E-17
1.528E+03  2.220E-27  8.995E-17
1.514E+03  2.311E-27  9.277E-17
1.500E+03  2.405E-27  9.568E-17
1.486E+03  2.503E-27  9.868E-17
1.472E+03  2.606E-27  1.018E-16
1.459E+03  2.713E-27  1.050E-16
1.445E+03  2.824E-27  1.083E-16
1.432E+03  2.939E-27  1.117E-16
1.419E+03  3.060E-27  1.152E-16
1.406E+03  3.185E-27  1.188E-16
1.393E+03  3.315E-27  1.225E-16
1.380E+03  3.451E-27  1.264E-16
1.368E+03  3.593E-27  1.303E-16
1.355E+03  3.740E-27  1.344E-16
1.343E+03  3.893E-27  1.387E-16
1.330E+03  4.053E-27  1.430E-16
1.318E+03  4.219E-27  1.475E-16
1.306E+03  4.392E-27  1.522E-16
1.294E+03  4.572E-27  1.570E-16
1.282E+03  4.759E-27  1.619E-16
1.271E+03  4.955E-27  1.670E-16
1.259E+03  5.158E-27  1.722E-16
1.247E+03  5.369E-27  1.777E-16
1.236E+03  5.589E-27  1.832E-16
1.225E+03  5.819E-27  1.890E-16
1.213E+03  6.057E-27  1.950E-16
1.202E+03  6.305E-27  2.011E-16
1.191E+03  6.564E-27  2.074E-16
1.180E+03  6.833E-27  2.139E-16
1.169E+03  7.113E-27  2.207E-16
1.159E+03  7.405E-27  2.276E-16
1.148E+03  7.708E-27  2.348E-16
1.138E+03  8.024E-27  2.421E-16
1.127E+03  8.353E-27  2.497E-16
1.117E+03  8.695E-27  2.576E-16
