Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         7 = grain model
 4.000E-08 4.000E-01 4.500E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 1.500E-05 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+05 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 9.211E+01 = <U> 
     mmp83 = radfield
 4.208E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.703E-24  5.738E-17 COBE-DIRBE
2.220E+00  2.194E-24  1.292E-16 COBE-DIRBE
3.530E+00  1.438E-23  1.347E-15 COBE-DIRBE
4.880E+00  6.888E-24  8.916E-16 COBE-DIRBE
1.229E+01  7.276E-23  2.372E-14 COBE-DIRBE
2.079E+01  1.047E-22  5.774E-14 COBE-DIRBE
5.599E+01  1.854E-22  2.753E-13 COBE-DIRBE
9.770E+01  8.332E-23  2.159E-13 COBE-DIRBE
1.479E+02  3.312E-23  1.299E-13 COBE-DIRBE
2.479E+02  6.315E-24  4.152E-14 COBE-DIRBE
1.200E+01  7.496E-23  2.386E-14 IRAS
2.500E+01  1.284E-22  8.516E-14 IRAS
6.000E+01  1.753E-22  2.789E-13 IRAS
1.000E+02  7.909E-23  2.098E-13 IRAS
3.550E+00  1.672E-23  1.575E-15 SST-IRAC
4.493E+00  4.788E-24  5.706E-16 SST-IRAC
5.731E+00  4.211E-23  6.402E-15 SST-IRAC
7.872E+00  1.054E-22  2.200E-14 SST-IRAC
2.368E+01  1.188E-22  7.465E-14 SST-MIPS
7.142E+01  1.265E-22  2.397E-13 SST-MIPS
1.559E+02  2.591E-23  1.071E-13 SST-MIPS
1.600E+01  7.006E-23  2.974E-14 SST-IRSPU
2.200E+01  1.161E-22  6.772E-14 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  9.666E-31  2.564E-19
9.908E+03  1.002E-30  2.633E-19
9.817E+03  1.039E-30  2.705E-19
9.727E+03  1.077E-30  2.778E-19
9.638E+03  1.116E-30  2.854E-19
9.550E+03  1.157E-30  2.931E-19
9.462E+03  1.199E-30  3.011E-19
9.376E+03  1.243E-30  3.092E-19
9.290E+03  1.289E-30  3.176E-19
9.204E+03  1.336E-30  3.262E-19
9.120E+03  1.385E-30  3.351E-19
9.036E+03  1.436E-30  3.442E-19
8.954E+03  1.488E-30  3.535E-19
8.872E+03  1.543E-30  3.630E-19
8.790E+03  1.599E-30  3.728E-19
8.710E+03  1.657E-30  3.829E-19
8.630E+03  1.718E-30  3.932E-19
8.551E+03  1.781E-30  4.038E-19
8.472E+03  1.846E-30  4.148E-19
8.395E+03  1.913E-30  4.260E-19
8.318E+03  1.983E-30  4.376E-19
8.241E+03  2.056E-30  4.494E-19
8.166E+03  2.131E-30  4.616E-19
8.091E+03  2.209E-30  4.742E-19
8.017E+03  2.291E-30  4.871E-19
7.943E+03  2.375E-30  5.003E-19
7.870E+03  2.462E-30  5.140E-19
7.798E+03  2.552E-30  5.280E-19
7.727E+03  2.646E-30  5.424E-19
7.656E+03  2.744E-30  5.572E-19
7.586E+03  2.845E-30  5.725E-19
7.516E+03  2.950E-30  5.881E-19
7.447E+03  3.059E-30  6.042E-19
7.379E+03  3.172E-30  6.208E-19
7.311E+03  3.289E-30  6.378E-19
7.244E+03  3.410E-30  6.554E-19
7.178E+03  3.537E-30  6.734E-19
7.112E+03  3.667E-30  6.919E-19
7.047E+03  3.803E-30  7.109E-19
6.982E+03  3.944E-30  7.305E-19
6.918E+03  4.090E-30  7.506E-19
6.855E+03  4.241E-30  7.712E-19
6.792E+03  4.399E-30  7.925E-19
6.730E+03  4.562E-30  8.143E-19
6.668E+03  4.731E-30  8.368E-19
6.607E+03  4.907E-30  8.599E-19
6.546E+03  5.089E-30  8.837E-19
6.486E+03  5.278E-30  9.082E-19
6.427E+03  5.475E-30  9.333E-19
6.368E+03  5.679E-30  9.592E-19
6.310E+03  5.890E-30  9.858E-19
6.252E+03  6.110E-30  1.013E-18
6.194E+03  6.338E-30  1.041E-18
6.138E+03  6.575E-30  1.070E-18
6.081E+03  6.820E-30  1.100E-18
6.026E+03  7.075E-30  1.131E-18
5.970E+03  7.340E-30  1.162E-18
5.916E+03  7.615E-30  1.195E-18
5.861E+03  7.900E-30  1.228E-18
5.808E+03  8.196E-30  1.263E-18
5.754E+03  8.504E-30  1.298E-18
5.702E+03  8.823E-30  1.334E-18
5.649E+03  9.155E-30  1.372E-18
5.598E+03  9.499E-30  1.410E-18
5.546E+03  9.856E-30  1.450E-18
5.495E+03  1.023E-29  1.491E-18
5.445E+03  1.061E-29  1.533E-18
5.395E+03  1.101E-29  1.576E-18
5.346E+03  1.143E-29  1.620E-18
5.297E+03  1.186E-29  1.666E-18
5.248E+03  1.231E-29  1.713E-18
5.200E+03  1.277E-29  1.762E-18
5.152E+03  1.325E-29  1.811E-18
5.105E+03  1.376E-29  1.863E-18
5.058E+03  1.428E-29  1.915E-18
5.012E+03  1.482E-29  1.970E-18
4.966E+03  1.538E-29  2.026E-18
4.920E+03  1.596E-29  2.083E-18
4.875E+03  1.657E-29  2.142E-18
4.831E+03  1.719E-29  2.203E-18
4.786E+03  1.785E-29  2.266E-18
4.742E+03  1.853E-29  2.330E-18
4.699E+03  1.923E-29  2.397E-18
4.656E+03  1.996E-29  2.465E-18
4.613E+03  2.072E-29  2.536E-18
4.571E+03  2.151E-29  2.608E-18
4.529E+03  2.233E-29  2.683E-18
4.487E+03  2.318E-29  2.760E-18
4.446E+03  2.407E-29  2.839E-18
4.406E+03  2.499E-29  2.920E-18
4.365E+03  2.595E-29  3.004E-18
4.325E+03  2.694E-29  3.091E-18
4.285E+03  2.797E-29  3.180E-18
4.246E+03  2.904E-29  3.271E-18
4.207E+03  3.016E-29  3.366E-18
4.169E+03  3.131E-29  3.463E-18
4.130E+03  3.252E-29  3.563E-18
4.093E+03  3.377E-29  3.666E-18
4.055E+03  3.507E-29  3.772E-18
4.018E+03  3.641E-29  3.881E-18
3.981E+03  3.782E-29  3.993E-18
3.945E+03  3.927E-29  4.109E-18
3.908E+03  4.078E-29  4.228E-18
3.873E+03  4.235E-29  4.351E-18
3.837E+03  4.399E-29  4.477E-18
3.802E+03  4.568E-29  4.607E-18
3.767E+03  4.745E-29  4.741E-18
3.733E+03  4.928E-29  4.879E-18
3.698E+03  5.119E-29  5.022E-18
3.664E+03  5.317E-29  5.168E-18
3.631E+03  5.523E-29  5.319E-18
3.597E+03  5.737E-29  5.475E-18
3.565E+03  5.960E-29  5.635E-18
3.532E+03  6.192E-29  5.801E-18
3.499E+03  6.432E-29  5.971E-18
3.467E+03  6.683E-29  6.146E-18
3.436E+03  6.943E-29  6.327E-18
3.404E+03  7.213E-29  6.513E-18
3.373E+03  7.494E-29  6.705E-18
3.342E+03  7.787E-29  6.903E-18
3.311E+03  8.091E-29  7.107E-18
3.281E+03  8.407E-29  7.317E-18
3.251E+03  8.736E-29  7.533E-18
3.221E+03  9.078E-29  7.756E-18
3.192E+03  9.434E-29  7.986E-18
3.162E+03  9.803E-29  8.223E-18
3.133E+03  1.019E-28  8.468E-18
3.105E+03  1.059E-28  8.719E-18
3.076E+03  1.100E-28  8.979E-18
3.048E+03  1.144E-28  9.246E-18
3.020E+03  1.189E-28  9.522E-18
2.992E+03  1.235E-28  9.805E-18
2.965E+03  1.284E-28  1.010E-17
2.938E+03  1.334E-28  1.040E-17
2.911E+03  1.387E-28  1.071E-17
2.884E+03  1.441E-28  1.103E-17
2.858E+03  1.498E-28  1.136E-17
2.831E+03  1.557E-28  1.170E-17
2.805E+03  1.619E-28  1.205E-17
2.780E+03  1.683E-28  1.241E-17
2.754E+03  1.749E-28  1.278E-17
2.729E+03  1.818E-28  1.316E-17
2.704E+03  1.890E-28  1.356E-17
2.679E+03  1.965E-28  1.396E-17
2.655E+03  2.043E-28  1.438E-17
2.630E+03  2.124E-28  1.482E-17
2.606E+03  2.208E-28  1.526E-17
2.582E+03  2.296E-28  1.573E-17
2.559E+03  2.387E-28  1.620E-17
2.535E+03  2.482E-28  1.669E-17
2.512E+03  2.581E-28  1.720E-17
2.489E+03  2.684E-28  1.772E-17
2.466E+03  2.791E-28  1.825E-17
2.443E+03  2.902E-28  1.881E-17
2.421E+03  3.018E-28  1.938E-17
2.399E+03  3.138E-28  1.997E-17
2.377E+03  3.264E-28  2.058E-17
