Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         3 = grain model
 4.000E-08 4.000E-01 1.500E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 5.000E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+04 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 6.915E+01 = <U> 
     mmp83 = radfield
 3.075E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
3.873E+03  4.267E-29  4.383E-18
3.837E+03  4.432E-29  4.511E-18
3.802E+03  4.603E-29  4.642E-18
3.767E+03  4.781E-29  4.778E-18
3.733E+03  4.967E-29  4.917E-18
3.698E+03  5.159E-29  5.061E-18
3.664E+03  5.359E-29  5.209E-18
3.631E+03  5.567E-29  5.362E-18
3.597E+03  5.783E-29  5.519E-18
3.565E+03  6.008E-29  5.681E-18
3.532E+03  6.242E-29  5.848E-18
3.499E+03  6.485E-29  6.020E-18
3.467E+03  6.738E-29  6.197E-18
3.436E+03  7.000E-29  6.380E-18
3.404E+03  7.274E-29  6.568E-18
3.373E+03  7.558E-29  6.762E-18
3.342E+03  7.853E-29  6.961E-18
3.311E+03  8.160E-29  7.167E-18
3.281E+03  8.479E-29  7.380E-18
3.251E+03  8.812E-29  7.598E-18
3.221E+03  9.157E-29  7.824E-18
3.192E+03  9.516E-29  8.056E-18
3.162E+03  9.890E-29  8.296E-18
3.133E+03  1.028E-28  8.542E-18
3.105E+03  1.068E-28  8.797E-18
3.076E+03  1.110E-28  9.059E-18
3.048E+03  1.154E-28  9.329E-18
3.020E+03  1.199E-28  9.608E-18
2.992E+03  1.247E-28  9.894E-18
2.965E+03  1.296E-28  1.019E-17
2.938E+03  1.347E-28  1.049E-17
2.911E+03  1.400E-28  1.081E-17
2.884E+03  1.455E-28  1.113E-17
2.858E+03  1.512E-28  1.146E-17
2.831E+03  1.572E-28  1.180E-17
2.805E+03  1.634E-28  1.216E-17
2.780E+03  1.698E-28  1.252E-17
2.754E+03  1.766E-28  1.290E-17
2.729E+03  1.836E-28  1.329E-17
2.704E+03  1.908E-28  1.369E-17
2.679E+03  1.984E-28  1.410E-17
2.655E+03  2.063E-28  1.452E-17
2.630E+03  2.144E-28  1.496E-17
2.606E+03  2.230E-28  1.541E-17
2.582E+03  2.318E-28  1.588E-17
2.559E+03  2.411E-28  1.636E-17
2.535E+03  2.507E-28  1.686E-17
2.512E+03  2.606E-28  1.737E-17
2.489E+03  2.710E-28  1.789E-17
2.466E+03  2.818E-28  1.844E-17
2.443E+03  2.931E-28  1.900E-17
2.421E+03  3.048E-28  1.957E-17
2.399E+03  3.170E-28  2.017E-17
2.377E+03  3.297E-28  2.078E-17
2.355E+03  3.429E-28  2.142E-17
2.333E+03  3.566E-28  2.207E-17
2.312E+03  3.709E-28  2.275E-17
2.291E+03  3.857E-28  2.344E-17
2.270E+03  4.012E-28  2.416E-17
2.249E+03  4.173E-28  2.490E-17
2.228E+03  4.341E-28  2.566E-17
2.208E+03  4.515E-28  2.645E-17
2.188E+03  4.697E-28  2.726E-17
2.168E+03  4.886E-28  2.809E-17
2.148E+03  5.083E-28  2.896E-17
2.128E+03  5.287E-28  2.985E-17
2.109E+03  5.500E-28  3.077E-17
2.089E+03  5.722E-28  3.171E-17
2.070E+03  5.953E-28  3.269E-17
2.051E+03  6.193E-28  3.370E-17
2.032E+03  6.443E-28  3.474E-17
2.014E+03  6.703E-28  3.581E-17
1.995E+03  6.974E-28  3.691E-17
1.977E+03  7.256E-28  3.805E-17
1.959E+03  7.549E-28  3.923E-17
1.941E+03  7.855E-28  4.044E-17
1.923E+03  8.173E-28  4.169E-17
1.905E+03  8.504E-28  4.298E-17
1.888E+03  8.848E-28  4.431E-17
1.871E+03  9.207E-28  4.568E-17
1.854E+03  9.580E-28  4.710E-17
1.837E+03  9.969E-28  4.856E-17
1.820E+03  1.037E-27  5.007E-17
1.803E+03  1.079E-27  5.163E-17
1.786E+03  1.123E-27  5.323E-17
1.770E+03  1.169E-27  5.488E-17
1.754E+03  1.216E-27  5.659E-17
1.738E+03  1.266E-27  5.835E-17
1.722E+03  1.317E-27  6.017E-17
1.706E+03  1.371E-27  6.204E-17
1.690E+03  1.427E-27  6.398E-17
1.675E+03  1.485E-27  6.597E-17
1.660E+03  1.545E-27  6.803E-17
1.644E+03  1.608E-27  7.015E-17
1.629E+03  1.674E-27  7.234E-17
1.614E+03  1.742E-27  7.460E-17
1.600E+03  1.813E-27  7.693E-17
1.585E+03  1.887E-27  7.934E-17
1.570E+03  1.964E-27  8.182E-17
1.556E+03  2.044E-27  8.438E-17
1.542E+03  2.128E-27  8.702E-17
1.528E+03  2.215E-27  8.974E-17
1.514E+03  2.305E-27  9.255E-17
1.500E+03  2.399E-27  9.544E-17
1.486E+03  2.497E-27  9.843E-17
1.472E+03  2.599E-27  1.015E-16
1.459E+03  2.706E-27  1.047E-16
1.445E+03  2.817E-27  1.080E-16
1.432E+03  2.932E-27  1.114E-16
1.419E+03  3.052E-27  1.149E-16
1.406E+03  3.177E-27  1.185E-16
1.393E+03  3.307E-27  1.222E-16
1.380E+03  3.442E-27  1.260E-16
1.368E+03  3.583E-27  1.300E-16
1.355E+03  3.730E-27  1.341E-16
1.343E+03  3.883E-27  1.383E-16
1.330E+03  4.042E-27  1.427E-16
1.318E+03  4.208E-27  1.471E-16
1.306E+03  4.380E-27  1.518E-16
1.294E+03  4.560E-27  1.565E-16
1.282E+03  4.747E-27  1.615E-16
1.271E+03  4.941E-27  1.665E-16
1.259E+03  5.144E-27  1.718E-16
1.247E+03  5.355E-27  1.772E-16
1.236E+03  5.574E-27  1.828E-16
1.225E+03  5.803E-27  1.885E-16
1.213E+03  6.041E-27  1.944E-16
1.202E+03  6.288E-27  2.005E-16
1.191E+03  6.546E-27  2.068E-16
1.180E+03  6.814E-27  2.133E-16
1.169E+03  7.094E-27  2.201E-16
1.159E+03  7.384E-27  2.270E-16
1.148E+03  7.687E-27  2.341E-16
1.138E+03  8.002E-27  2.415E-16
1.127E+03  8.330E-27  2.491E-16
1.117E+03  8.671E-27  2.569E-16
1.107E+03  9.026E-27  2.650E-16
1.096E+03  9.396E-27  2.733E-16
1.086E+03  9.781E-27  2.819E-16
1.076E+03  1.018E-26  2.907E-16
1.067E+03  1.060E-26  2.998E-16
1.057E+03  1.103E-26  3.093E-16
1.047E+03  1.148E-26  3.190E-16
1.038E+03  1.195E-26  3.290E-16
1.028E+03  1.244E-26  3.393E-16
1.019E+03  1.295E-26  3.499E-16
1.009E+03  1.348E-26  3.609E-16
1.000E+03  1.403E-26  3.722E-16
9.908E+02  1.460E-26  3.838E-16
