Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+04 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 6.915E+01 = <U> 
     mmp83 = radfield
 3.088E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.162E-25  3.914E-18 COBE-DIRBE
2.220E+00  1.378E-25  8.113E-18 COBE-DIRBE
3.530E+00  8.470E-25  7.931E-17 COBE-DIRBE
4.880E+00  3.948E-25  5.110E-17 COBE-DIRBE
1.229E+01  1.394E-23  4.545E-15 COBE-DIRBE
2.079E+01  4.313E-23  2.379E-14 COBE-DIRBE
5.599E+01  2.011E-22  2.987E-13 COBE-DIRBE
9.770E+01  9.188E-23  2.381E-13 COBE-DIRBE
1.479E+02  3.574E-23  1.402E-13 COBE-DIRBE
2.479E+02  6.708E-24  4.410E-14 COBE-DIRBE
1.200E+01  1.205E-23  3.837E-15 IRAS
2.500E+01  6.753E-23  4.478E-14 IRAS
6.000E+01  1.901E-22  3.025E-13 IRAS
1.000E+02  8.711E-23  2.311E-13 IRAS
3.550E+00  9.851E-25  9.277E-17 SST-IRAC
4.493E+00  2.721E-25  3.243E-17 SST-IRAC
5.731E+00  2.734E-24  4.156E-16 SST-IRAC
7.872E+00  1.077E-23  2.250E-15 SST-IRAC
2.368E+01  5.978E-23  3.755E-14 SST-MIPS
7.142E+01  1.406E-22  2.663E-13 SST-MIPS
1.559E+02  2.784E-23  1.151E-13 SST-MIPS
1.600E+01  2.079E-23  8.823E-15 SST-IRSPU
2.200E+01  5.517E-23  3.220E-14 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  9.720E-31  2.578E-19
9.908E+03  1.008E-30  2.649E-19
9.817E+03  1.045E-30  2.721E-19
9.727E+03  1.083E-30  2.795E-19
9.638E+03  1.123E-30  2.871E-19
9.550E+03  1.164E-30  2.950E-19
9.462E+03  1.207E-30  3.030E-19
9.376E+03  1.252E-30  3.113E-19
9.290E+03  1.298E-30  3.198E-19
9.204E+03  1.346E-30  3.285E-19
9.120E+03  1.395E-30  3.375E-19
9.036E+03  1.446E-30  3.467E-19
8.954E+03  1.499E-30  3.561E-19
8.872E+03  1.554E-30  3.658E-19
8.790E+03  1.611E-30  3.757E-19
8.710E+03  1.670E-30  3.859E-19
8.630E+03  1.732E-30  3.964E-19
8.551E+03  1.795E-30  4.072E-19
8.472E+03  1.861E-30  4.183E-19
8.395E+03  1.930E-30  4.297E-19
8.318E+03  2.001E-30  4.414E-19
8.241E+03  2.074E-30  4.535E-19
8.166E+03  2.151E-30  4.658E-19
8.091E+03  2.230E-30  4.786E-19
8.017E+03  2.312E-30  4.917E-19
7.943E+03  2.397E-30  5.052E-19
7.870E+03  2.486E-30  5.190E-19
7.798E+03  2.578E-30  5.332E-19
7.727E+03  2.673E-30  5.479E-19
7.656E+03  2.772E-30  5.629E-19
7.586E+03  2.875E-30  5.784E-19
7.516E+03  2.981E-30  5.944E-19
7.447E+03  3.092E-30  6.107E-19
7.379E+03  3.206E-30  6.276E-19
7.311E+03  3.325E-30  6.449E-19
7.244E+03  3.449E-30  6.627E-19
7.178E+03  3.577E-30  6.810E-19
7.112E+03  3.710E-30  6.999E-19
7.047E+03  3.848E-30  7.192E-19
6.982E+03  3.991E-30  7.391E-19
6.918E+03  4.139E-30  7.596E-19
6.855E+03  4.293E-30  7.806E-19
6.792E+03  4.453E-30  8.023E-19
6.730E+03  4.619E-30  8.245E-19
6.668E+03  4.791E-30  8.474E-19
6.607E+03  4.970E-30  8.709E-19
6.546E+03  5.155E-30  8.951E-19
6.486E+03  5.347E-30  9.201E-19
6.427E+03  5.547E-30  9.457E-19
6.368E+03  5.755E-30  9.721E-19
6.310E+03  5.970E-30  9.992E-19
6.252E+03  6.194E-30  1.027E-18
6.194E+03  6.426E-30  1.056E-18
6.138E+03  6.667E-30  1.085E-18
6.081E+03  6.917E-30  1.116E-18
6.026E+03  7.176E-30  1.147E-18
5.970E+03  7.446E-30  1.179E-18
5.916E+03  7.726E-30  1.212E-18
5.861E+03  8.016E-30  1.246E-18
5.808E+03  8.318E-30  1.281E-18
5.754E+03  8.631E-30  1.317E-18
5.702E+03  8.957E-30  1.355E-18
5.649E+03  9.294E-30  1.393E-18
5.598E+03  9.645E-30  1.432E-18
5.546E+03  1.001E-29  1.473E-18
5.495E+03  1.039E-29  1.514E-18
5.445E+03  1.078E-29  1.557E-18
5.395E+03  1.119E-29  1.601E-18
5.346E+03  1.161E-29  1.646E-18
5.297E+03  1.205E-29  1.693E-18
5.248E+03  1.251E-29  1.741E-18
5.200E+03  1.298E-29  1.791E-18
5.152E+03  1.347E-29  1.841E-18
5.105E+03  1.399E-29  1.894E-18
5.058E+03  1.452E-29  1.948E-18
5.012E+03  1.507E-29  2.003E-18
4.966E+03  1.564E-29  2.060E-18
4.920E+03  1.624E-29  2.119E-18
4.875E+03  1.685E-29  2.179E-18
