Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         5 = grain model
 4.000E-08 4.000E-01 3.000E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 1.000E-05 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+05 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 9.211E+01 = <U> 
     mmp83 = radfield
 4.137E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.153E-24  3.885E-17 COBE-DIRBE
2.220E+00  1.485E-24  8.748E-17 COBE-DIRBE
3.530E+00  9.726E-24  9.107E-16 COBE-DIRBE
4.880E+00  4.688E-24  6.068E-16 COBE-DIRBE
1.229E+01  5.596E-23  1.824E-14 COBE-DIRBE
2.079E+01  1.011E-22  5.577E-14 COBE-DIRBE
5.599E+01  1.990E-22  2.956E-13 COBE-DIRBE
9.770E+01  8.682E-23  2.250E-13 COBE-DIRBE
1.479E+02  3.401E-23  1.334E-13 COBE-DIRBE
2.479E+02  6.427E-24  4.226E-14 COBE-DIRBE
1.200E+01  5.605E-23  1.784E-14 IRAS
2.500E+01  1.312E-22  8.698E-14 IRAS
6.000E+01  1.877E-22  2.988E-13 IRAS
1.000E+02  8.230E-23  2.183E-13 IRAS
3.550E+00  1.131E-23  1.065E-15 SST-IRAC
4.493E+00  3.251E-24  3.875E-16 SST-IRAC
5.731E+00  2.892E-23  4.397E-15 SST-IRAC
7.872E+00  7.468E-23  1.559E-14 SST-IRAC
2.368E+01  1.218E-22  7.650E-14 SST-MIPS
7.142E+01  1.338E-22  2.534E-13 SST-MIPS
1.559E+02  2.654E-23  1.097E-13 SST-MIPS
1.600E+01  5.996E-23  2.545E-14 SST-IRSPU
2.200E+01  1.172E-22  6.838E-14 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  9.592E-31  2.544E-19
9.908E+03  9.945E-31  2.614E-19
9.817E+03  1.031E-30  2.685E-19
9.727E+03  1.069E-30  2.758E-19
9.638E+03  1.108E-30  2.833E-19
9.550E+03  1.149E-30  2.910E-19
9.462E+03  1.191E-30  2.989E-19
9.376E+03  1.234E-30  3.070E-19
9.290E+03  1.280E-30  3.154E-19
9.204E+03  1.327E-30  3.239E-19
9.120E+03  1.375E-30  3.327E-19
9.036E+03  1.426E-30  3.418E-19
8.954E+03  1.478E-30  3.511E-19
8.872E+03  1.532E-30  3.605E-19
8.790E+03  1.588E-30  3.703E-19
8.710E+03  1.646E-30  3.803E-19
8.630E+03  1.706E-30  3.906E-19
8.551E+03  1.769E-30  4.012E-19
8.472E+03  1.834E-30  4.121E-19
8.395E+03  1.901E-30  4.232E-19
8.318E+03  1.970E-30  4.347E-19
8.241E+03  2.043E-30  4.466E-19
8.166E+03  2.118E-30  4.587E-19
8.091E+03  2.196E-30  4.712E-19
8.017E+03  2.276E-30  4.841E-19
7.943E+03  2.360E-30  4.973E-19
7.870E+03  2.447E-30  5.109E-19
7.798E+03  2.537E-30  5.248E-19
7.727E+03  2.631E-30  5.392E-19
7.656E+03  2.728E-30  5.539E-19
7.586E+03  2.828E-30  5.691E-19
7.516E+03  2.933E-30  5.847E-19
7.447E+03  3.041E-30  6.008E-19
7.379E+03  3.154E-30  6.173E-19
