Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         7 = grain model
 4.000E-08 4.000E-01 4.500E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 1.500E-05 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.000E+01 = <U> 
     mmp83 = radfield
 4.556E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.840E-25  6.198E-18 COBE-DIRBE
2.220E+00  2.349E-25  1.383E-17 COBE-DIRBE
3.530E+00  1.527E-24  1.429E-16 COBE-DIRBE
4.880E+00  6.843E-25  8.857E-17 COBE-DIRBE
1.229E+01  5.929E-24  1.933E-15 COBE-DIRBE
2.079E+01  3.729E-24  2.056E-15 COBE-DIRBE
5.599E+01  1.952E-23  2.900E-14 COBE-DIRBE
9.770E+01  2.545E-23  6.597E-14 COBE-DIRBE
1.479E+02  1.534E-23  6.019E-14 COBE-DIRBE
2.479E+02  3.822E-24  2.513E-14 COBE-DIRBE
1.200E+01  6.524E-24  2.077E-15 IRAS
2.500E+01  3.420E-24  2.268E-15 IRAS
6.000E+01  2.089E-23  3.324E-14 IRAS
1.000E+02  2.513E-23  6.666E-14 IRAS
3.550E+00  1.775E-24  1.671E-16 SST-IRAC
4.493E+00  4.979E-25  5.934E-17 SST-IRAC
5.731E+00  3.961E-24  6.022E-16 SST-IRAC
7.872E+00  9.588E-24  2.002E-15 SST-IRAC
2.368E+01  3.008E-24  1.890E-15 SST-MIPS
7.142E+01  2.359E-23  4.468E-14 SST-MIPS
1.559E+02  1.287E-23  5.323E-14 SST-MIPS
1.600E+01  4.507E-24  1.913E-15 SST-IRSPU
2.200E+01  3.259E-24  1.902E-15 SST-IRSPU
7.500E+01  2.032E-23  4.043E-14 Herschel-PACS
1.100E+02  1.827E-23  5.331E-14 Herschel-PACS
1.700E+02  9.759E-24  4.401E-14 Herschel-PACS
2.500E+02  3.189E-24  2.115E-14 Herschel-SPIRE
3.600E+02  7.997E-25  7.637E-15 Herschel-SPIRE
5.200E+02  1.821E-25  2.512E-15 Herschel-SPIRE
2.400E+00  2.632E-25  1.676E-17 Akari IRC NIR N2
3.200E+00  1.174E-24  9.966E-17 Akari IRC NIR N3
4.100E+00  5.402E-25  5.875E-17 Akari IRC NIR N4
7.000E+00  1.089E-23  2.022E-15 Akari IRC MIR-S S7
9.000E+00  7.679E-24  1.833E-15 Akari IRC MIR-S S9W
1.100E+01  5.961E-24  1.739E-15 Akari IRC MIR-S S11
1.500E+01  4.680E-24  1.862E-15 Akari IRC MIR-L L15
