Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+03 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 4.652E+01 = <U> 
     mmp83 = radfield
 2.078E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  7.801E-26  2.628E-18 COBE-DIRBE
2.220E+00  9.241E-26  5.442E-18 COBE-DIRBE
3.530E+00  5.669E-25  5.308E-17 COBE-DIRBE
4.880E+00  2.581E-25  3.340E-17 COBE-DIRBE
1.229E+01  7.045E-24  2.297E-15 COBE-DIRBE
2.079E+01  1.631E-23  8.994E-15 COBE-DIRBE
5.599E+01  1.505E-22  2.235E-13 COBE-DIRBE
9.770E+01  8.334E-23  2.160E-13 COBE-DIRBE
1.479E+02  3.400E-23  1.334E-13 COBE-DIRBE
2.479E+02  6.524E-24  4.290E-14 COBE-DIRBE
1.200E+01  6.019E-24  1.916E-15 IRAS
2.500E+01  2.459E-23  1.630E-14 IRAS
6.000E+01  1.447E-22  2.303E-13 IRAS
1.000E+02  7.948E-23  2.108E-13 IRAS
3.550E+00  6.594E-25  6.209E-17 SST-IRAC
4.493E+00  1.799E-25  2.144E-17 SST-IRAC
5.731E+00  1.656E-24  2.517E-16 SST-IRAC
7.872E+00  5.358E-24  1.119E-15 SST-IRAC
2.368E+01  2.046E-23  1.285E-14 SST-MIPS
7.142E+01  1.185E-22  2.246E-13 SST-MIPS
1.559E+02  2.667E-23  1.103E-13 SST-MIPS
1.600E+01  1.015E-23  4.309E-15 SST-IRSPU
2.200E+01  1.944E-23  1.135E-14 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  9.627E-31  2.554E-19
9.908E+03  9.981E-31  2.623E-19
9.817E+03  1.035E-30  2.695E-19
9.727E+03  1.073E-30  2.768E-19
9.638E+03  1.112E-30  2.844E-19
9.550E+03  1.153E-30  2.922E-19
9.462E+03  1.196E-30  3.001E-19
9.376E+03  1.240E-30  3.083E-19
9.290E+03  1.285E-30  3.167E-19
9.204E+03  1.333E-30  3.254E-19
9.120E+03  1.382E-30  3.343E-19
9.036E+03  1.433E-30  3.434E-19
8.954E+03  1.485E-30  3.527E-19
8.872E+03  1.540E-30  3.623E-19
8.790E+03  1.596E-30  3.721E-19
8.710E+03  1.654E-30  3.822E-19
8.630E+03  1.715E-30  3.926E-19
8.551E+03  1.778E-30  4.033E-19
8.472E+03  1.843E-30  4.143E-19
8.395E+03  1.911E-30  4.256E-19
8.318E+03  1.981E-30  4.372E-19
8.241E+03  2.054E-30  4.491E-19
8.166E+03  2.130E-30  4.614E-19
8.091E+03  2.209E-30  4.740E-19
8.017E+03  2.290E-30  4.870E-19
7.943E+03  2.375E-30  5.003E-19
7.870E+03  2.462E-30  5.140E-19
7.798E+03  2.553E-30  5.281E-19
7.727E+03  2.648E-30  5.426E-19
7.656E+03  2.745E-30  5.575E-19
7.586E+03  2.847E-30  5.729E-19
7.516E+03  2.953E-30  5.887E-19
7.447E+03  3.062E-30  6.049E-19
7.379E+03  3.175E-30  6.215E-19
7.311E+03  3.293E-30  6.387E-19
7.244E+03  3.416E-30  6.563E-19
7.178E+03  3.542E-30  6.745E-19
7.112E+03  3.674E-30  6.931E-19
7.047E+03  3.811E-30  7.123E-19
6.982E+03  3.952E-30  7.320E-19
6.918E+03  4.099E-30  7.523E-19
6.855E+03  4.252E-30  7.731E-19
6.792E+03  4.410E-30  7.945E-19
6.730E+03  4.574E-30  8.166E-19
6.668E+03  4.745E-30  8.392E-19
6.607E+03  4.922E-30  8.625E-19
6.546E+03  5.105E-30  8.865E-19
6.486E+03  5.296E-30  9.112E-19
6.427E+03  5.494E-30  9.366E-19
6.368E+03  5.699E-30  9.627E-19
6.310E+03  5.912E-30  9.895E-19
6.252E+03  6.134E-30  1.017E-18
6.194E+03  6.364E-30  1.046E-18
6.138E+03  6.602E-30  1.075E-18
6.081E+03  6.850E-30  1.105E-18
6.026E+03  7.107E-30  1.136E-18
5.970E+03  7.374E-30  1.168E-18
5.916E+03  7.651E-30  1.201E-18
5.861E+03  7.939E-30  1.234E-18
5.808E+03  8.238E-30  1.269E-18
5.754E+03  8.548E-30  1.305E-18
5.702E+03  8.870E-30  1.341E-18
5.649E+03  9.204E-30  1.379E-18
5.598E+03  9.551E-30  1.418E-18
5.546E+03  9.912E-30  1.458E-18
5.495E+03  1.029E-29  1.499E-18
5.445E+03  1.068E-29  1.542E-18
5.395E+03  1.108E-29  1.586E-18
5.346E+03  1.150E-29  1.630E-18
5.297E+03  1.193E-29  1.677E-18
5.248E+03  1.239E-29  1.724E-18
5.200E+03  1.286E-29  1.773E-18
5.152E+03  1.334E-29  1.824E-18
5.105E+03  1.385E-29  1.875E-18
5.058E+03  1.438E-29  1.929E-18
5.012E+03  1.492E-29  1.984E-18
