303.8   40.531 40.531 40.531 40.532 40.718 40.718 40.718 40.718 40.753 40.753 40.753 40.754
584.3   39.822 39.824 39.837 39.924 39.822 39.824 39.840 39.938 39.818 39.821 39.842 39.946
625.6   41.534 41.533 41.520 41.408 41.533 41.532 41.516 41.382 41.536 41.532 41.500 41.252
972.5   39.302 39.302 39.303 39.304 39.300 39.300 39.301 39.302 39.316 39.316 39.316 39.318
977.0   39.560 39.562 39.570 39.587 40.046 40.047 40.056 40.071 40.179 40.181 40.191 40.213
1026    39.401 39.401 39.402 39.403 39.414 39.414 39.414 39.416 39.438 39.438 39.439 39.444
1216    42.364 42.367 42.386 42.465 42.320 42.322 42.341 42.420 42.287 42.289 42.308 42.390
1335    39.783 39.784 39.787 39.793 39.665 39.665 39.666 39.668 39.410 39.410 39.411 39.411
1397    38.643 38.643 38.649 38.660 39.381 39.382 39.388 39.402 39.562 39.563 39.571 39.586
1486    37.270 37.272 37.280 37.299 38.827 38.828 38.837 38.851 39.559 39.561 39.572 39.595
1549    39.322 39.323 39.328 39.340 40.644 40.645 40.653 40.667 41.420 41.423 41.434 41.455
1640    39.863 39.863 39.863 39.861 39.874 39.874 39.874 39.873 39.873 39.872 39.872 39.872
1665    39.695 39.697 39.704 39.720 40.228 40.229 40.236 40.248 40.401 40.404 40.414 40.435
1750    38.968 38.970 38.977 38.995 39.369 39.370 39.377 39.390 39.170 39.172 39.181 39.198
1888    39.663 39.665 39.672 39.684 39.860 39.861 39.865 39.870 39.281 39.282 39.283 39.281
1909    40.908 40.909 40.915 40.927 41.223 41.223 41.229 41.239 41.083 41.085 41.093 41.108
2326    40.441 40.442 40.446 40.451 39.856 39.857 39.861 39.861 39.016 39.017 39.020 39.019
2400    39.617 39.616 39.615 39.614 38.976 38.975 38.974 38.974 38.482 38.481 38.481 38.481
2471    39.555 39.560 39.598 39.799 38.847 38.851 38.887 39.080 37.995 37.999 38.035 38.226
2798    39.942 39.944 39.948 39.955 39.388 39.389 39.392 39.397 38.860 38.861 38.863 38.868
2829    38.885 38.885 38.886 38.887 38.889 38.888 38.883 38.867 38.893 38.887 38.859 38.720
2836    38.680 38.690 38.749 38.821 39.240 39.246 39.298 39.360 39.361 39.367 39.418 39.482
2945    39.143 39.143 39.143 39.145 39.146 39.145 39.136 39.102 39.150 39.140 39.082 38.842
